Name,Lead,Supporting,Notes
Sally Hawkins,The Shape of Water (2017),Blue Jasmine (2013),
Sally Kirkland,Anna (1987),,
Salma Hayek,Frida (2002),,
Sam Elliott,,A Star Is Born (2018),
Sam Rockwell,,"Three Billboards Outside Ebbing, Missouri (2017), Vice (2018)",
Samantha Morton,In America (2003),Sweet and Lowdown (1999),
Samuel L. Jackson,,Pulp Fiction (1994),
Sandra Bullock,"The Blind Side (2009), Gravity (2013)",,
Saoirse Ronan,"Brooklyn (2015), Lady Bird (2017), Little Women (2019)",Atonement (2007),
Scarlett Johansson,Marriage Story (2019),Jojo Rabbit (2019),
Sean Connery,,The Untouchables (1987),
Sean Penn,"Dead Man Walking (1995), Sweet and Lowdown (1999), I Am Sam (2001), Mystic River (2003), Milk (2008)",,
Sharon Stone,Casino (1995),,
Shirley MacLaine,"Some Came Running (1958), The Apartment (1960), Irma la Douce (1963), The Turning Point (1977), Terms of Endearment (1983)",,
Shohreh Aghdashloo,,House of Sand and Fog (2003),
Sidney Poitier,"The Defiant Ones (1958), Lilies of the Field (1963)",,
Sigourney Weaver,"Aliens (1986), Gorillas in the Mist (1988)",Working Girl (1988),
Sissy Spacek,"Carrie (1976), Coal Miner's Daughter (1980), Missing (1982), The River (1984), Crimes of the Heart (1986), In the Bedroom (2001)",,
Sophie Okonedo,,Hotel Rwanda (2004),
Spencer Tracy,"San Francisco (1936), Captains Courageous (1937), Boys Town (1938), Father of the Bride (1950), Bad Day at Black Rock (1955), The Old Man and the Sea (1958), Inherit the Wind (1960), Judgment at Nuremberg (1961), Guess Who's Coming to Dinner (1967)",,
Stanley Tucci,,The Lovely Bones (2009),
Stephen Rea,The Crying Game (1992),,
Steve Carell,Foxcatcher (2014),,
Steve McQueen,The Sand Pebbles (1966),,
Steven Yeun,Minari (2020),,
Stockard Channing,Six Degrees of Separation (1993),,
Susan Sarandon,"Atlantic City (1981), Thelma & Louise (1991), Lorenzo's Oil (1992), The Client (1994), Dead Man Walking (1995)",,
Sylvester Stallone,Rocky (1976),Creed (2015),
Talia Shire,Rocky (1976),The Godfather Part II (1974),
Taraji P. Henson,,The Curious Case of Benjamin Button (2008),
Terrence Howard,Hustle & Flow (2005),,
Thomas Haden Church,,Sideways (2004),
Tilda Swinton,,Michael Clayton (2007),
Tim Robbins,,Mystic River (2003),
Tim Roth,,Rob Roy (1995),
Timothée Chalamet,Call Me By Your Name (2017),,
Timothy Hutton,,Ordinary People (1980),
Tom Cruise,"Born on the Fourth of July (1989), Jerry Maguire (1996)",Magnolia (1999),
Tom Hanks,"Big (1988), Philadelphia (1993), Forrest Gump (1994), Saving Private Ryan (1998), Cast Away (2000)",A Beautiful Day in the Neighborhood (2019),
Tom Hardy,,The Revenant (2015),
Tom Wilkinson,In the Bedroom (2001),Michael Clayton (2007),
Tommy Lee Jones,In the Valley of Elah (2007),"JFK (1991), The Fugitive (1993), Lincoln (2012)",
Toni Collette,,The Sixth Sense (1999),
Troy Kotsur,,CODA (2021),
Uma Thurman,,Pulp Fiction (1994),
Vanessa Kirby,Pieces of a Woman (2020),,
Vanessa Redgrave,"Morgan! (1966), Isadora (1968), Mary, Queen of Scots (1971), The Bostonians (1984)","Julia (1977), Howards End (1992)",
Vera Farmiga,,Up in the Air (2009),
Viggo Mortensen,"Eastern Promises (2007), Captain Fantastic (2016), Green Book (2018)",,
Vincent Gardenia,,"Bang the Drum Slowly (1973), Moonstruck (1987)",
Viola Davis,"The Help (2011), Ma Rainey's Black Bottom (2020)","Doubt (2008), Fences (2016)",
Virginia Madsen,,Sideways (2004),
Vivien Leigh,"Gone with the Wind (1939), A Streetcar Named Desire (1951)",,
Warren Beatty,"Bonnie and Clyde (1967), Heaven Can Wait (1978), Reds (1981), Bugsy (1991)",,
Whoopi Goldberg,The Color Purple (1985),Ghost (1990),
Will Smith,"Ali (2001), The Pursuit of Happyness (2006), King Richard (2021)",,
Willem Dafoe,At Eternity's Gate (2018),"Platoon (1986), Shadow of the Vampire (2000), The Florida Project (2017)",
William H. Macy,,Fargo (1996),
William Hurt,"Kiss of the Spider Woman (1985), Children of a Lesser God (1986), Broadcast News (1987)",A History of Violence (2005),
Winona Ryder,Little Women (1994),The Age of Innocence (1993),
Woody Allen,Annie Hall (1977),,
Woody Harrelson,The People vs. Larry Flynt (1996),"The Messenger (2009), Three Billboards Outside Ebbing, Missouri (2017)",
Yalitza Aparicio,Roma (2018),,
Youn Yuh-jung,,Minari (2020),
Yul Brynner,The King and I (1956),,
