Name,Lead,Supporting,Notes
Dean Stockwell,,Married to the Mob (1988),
Debra Winger,"An Officer and a Gentleman (1982), Terms of Endearment (1983), Shadowlands (1993)",,
Demián Bichir,A Better Life (2011),,
Dennis Hopper,,Hoosiers (1986),
Denzel Washington,"Malcolm X (1992), The Hurricane (1999), Training Day (2001), Flight (2012), Fences (2016), Roman J. Israel, Esq. (2017), The Tragedy of Macbeth (2021)","Cry Freedom (1987), Glory (1989)",
Dev Patel,,Lion (2016),
Dexter Gordon,Round Midnight (1986),,
Diane Keaton,"Annie Hall (1977), Reds (1981), Marvin's Room (1996), Something's Gotta Give (2003)",,
Diane Ladd,,"Alice Doesn't Live Here Anymore (1974), Wild at Heart (1990), Rambling Rose (1991)",
Diane Lane,Unfaithful (2002),,
Dianne Wiest,,"Hannah and Her Sisters (1986), Parenthood (1989), Bullets over Broadway (1994)",
Djimon Hounsou,,"In America (2003), Blood Diamond (2006)",
Don Cheadle,Hotel Rwanda (2004),,
Dorothy Dandridge,Carmen Jones (1954),,
Dustin Hoffman,"The Graduate (1967), Midnight Cowboy (1969), Lenny (1974), Kramer vs. Kramer (1979), Tootsie (1982), Rain Man (1988), Wag the Dog (1997)",,
Ed Harris,Pollock (2000),"Apollo 13 (1995), The Truman Show (1998), The Hours (2002)",
Eddie Murphy,,Dreamgirls (2006),
Eddie Redmayne,"The Theory of Everything (2014), The Danish Girl (2015)",,
Edward James Olmos,Stand and Deliver (1988),,
Edward Norton,American History X (1998),"Primal Fear (1996), Birdman or (The Unexpected Virtue of Ignorance) (2014)",
Elisabeth Shue,Leaving Las Vegas (1995),,
Elizabeth Taylor,"Raintree County (1957), Cat on a Hot Tin Roof (1958), Suddenly, Last Summer (1959), Butterfield 8 (1960), Who's Afraid of Virginia Woolf? (1966)",,
Ellen Burstyn,"The Exorcist (1973), Alice Doesn't Live Here Anymore (1974), Same Time, Next Year (1978), Resurrection (1980), Requiem for a Dream (2000)",The Last Picture Show (1971),
Elliot Page,Juno (2007),,
Elliott Gould,,Bob & Carol & Ted & Alice (1969),
Emily Watson,"Breaking the Waves (1996), Hilary and Jackie (1998)",,
Emma Stone,La La Land (2016),"Birdman or (The Unexpected Virtue of Ignorance) (2014), The Favourite (2018)",
Emma Thompson,"Howards End (1992), The Remains of the Day (1993), Sense and Sensibility (1995)",In the Name of the Father (1993),
Emmanuelle Riva,Amour (2012),,
Ethan Hawke,,"Training Day (2001), Boyhood (2014)",
Ethel Barrymore,,"None but the Lonely Heart (1944), The Spiral Staircase (1946), The Paradine Case (1947), Pinky (1949)",
Felicity Huffman,Transamerica (2005),,
Felicity Jones,The Theory of Everything (2014),,
Fernanda Montenegro,Central Station (1998),,
Florence Pugh,,Little Women (2019),
Forest Whitaker,The Last King of Scotland (2006),,
Frances McDormand,"Fargo (1996), Three Billboards Outside Ebbing, Missouri (2017), Nomadland (2020)","Mississippi Burning (1988), Almost Famous (2000), North Country (2005)",
Frank Langella,Frost/Nixon (2008),,
Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire (2009),,
Gary Busey,The Buddy Holly Story (1978),,
Gary Cooper,"Mr. Deeds Goes to Town (1936), Sergeant York (1941), The Pride of the Yankees (1942), For Whom the Bell Tolls (1943), High Noon (1952)",,
Gary Oldman,"Tinker Tailor Soldier Spy (2011), Darkest Hour (2017), Mank (2020)",,
Gary Sinise,,Forrest Gump (1994),
Geena Davis,Thelma & Louise (1991),The Accidental Tourist (1988),
Gene Hackman,"The French Connection (1971), Mississippi Burning (1988)","Bonnie and Clyde (1967), I Never Sang for My Father (1970), Unforgiven (1992)",
Gene Wilder,,The Producers (1968),
Geoffrey Rush,"Shine (1996), Quills (2000)","Shakespeare in Love (1998), The King's Speech (2010)",
George Clooney,"Michael Clayton (2007), Up in the Air (2009), The Descendants (2011)",Syriana (2005),
Gérard Depardieu,Cyrano de Bergerac (1990),,
Glenda Jackson,"Women in Love (1970), Sunday Bloody Sunday (1971), A Touch of Class (1973), Hedda (1975)",,
Glenn Close,"Fatal Attraction (1987), Dangerous Liaisons (1988), Albert Nobbs (2011), The Wife (2018)","The World According to Garp (1982), The Big Chill (1983), The Natural (1984), Hillbilly Elegy (2020)",
Gloria Stuart,,Titanic (1997),
Goldie Hawn,Private Benjamin (1980),Cactus Flower (1969),
Graham Greene,,Dances with Wolves (1990),
Greg Kinnear,,As Good as It Gets (1997),
Gwyneth Paltrow,Shakespeare in Love (1998),,
Hailee Steinfeld,,True Grit (2010),
Hal Holbrook,,Into the Wild (2007),
Haley Joel Osment,,The Sixth Sense (1999),
Halle Berry,Monster's Ball (2001),,
Harrison Ford,Witness (1985),,
Harvey Keitel,,Bugsy (1991),
Hattie McDaniel,,Gone with the Wind (1939),
Heath Ledger,Brokeback Mountain (2005),The Dark Knight (2008),
Helen Hunt,As Good as It Gets (1997),The Sessions (2012),
Helen Mirren,"The Queen (2006), The Last Station (2009)","The Madness of King George (1994), Gosford Park (2001)",
Helena Bonham Carter,The Wings of the Dove (1997),The King's Speech (2010),
Henry Fonda,"The Grapes of Wrath (1940), On Golden Pond (1981)",,
Hilary Swank,"Boys Don't Cry (1999), Million Dollar Baby (2004)",,
Holly Hunter,"Broadcast News (1987), The Piano (1993)","The Firm (1993), Thirteen (2003)",
Hugh Jackman,Les Misérables (2012),,
Ian McKellen,Gods and Monsters (1998),The Lord of the Rings: The Fellowship of the Ring (2001),
Imelda Staunton,Vera Drake (2004),,
Ingrid Bergman,"For Whom the Bell Tolls (1943), Gaslight (1944), The Bells of St. Mary's (1945), Joan of Arc (1948), Anastasia (1956), Autumn Sonata (1978)",Murder on the Orient Express (1974),
Isabelle Adjani,"The Story of Adele H. (1975), Camille Claudel (1989)",,
Isabelle Huppert,Elle (2016),,
J. K. Simmons,,"Whiplash (2014), Being the Ricardos (2021)",
Jack Lemmon,"Some Like It Hot (1959), The Apartment (1960), Days of Wine and Roses (1962), Save the Tiger (1973), The China Syndrome (1979), Tribute (1980), Missing (1982)",Mister Roberts (1955),
Jack Nicholson,"Five Easy Pieces (1970), The Last Detail (1973), Chinatown (1974), One Flew Over the Cuckoo’s Nest (1975), Prizzi’s Honor (1985), Ironweed (1987), As Good as It Gets (1997), About Schmidt (2002)","Easy Rider (1969), Reds (1981), Terms of Endearment (1983), A Few Good Men (1992)",
Jack Palance,,"Sudden Fear (1952), Shane (1953), City Slickers (1991)",
Jacki Weaver,,"Animal Kingdom (2010), Silver Linings Playbook (2012)",
Jackie Earle Haley,,Little Children (2006),
Jake Gyllenhaal,,Brokeback Mountain (2005),
James Caan,,The Godfather (1972),
James Coburn,,Affliction (1998),
James Cromwell,,Babe (1995),
James Dean,"East of Eden (1955), Giant (1956)",,
James Earl Jones,The Great White Hope (1970),,
James Franco,127 Hours (2010),,
James Stewart,"Mr. Smith Goes to Washington (1939), The Philadelphia Story (1940), It’s a Wonderful Life (1946), Harvey (1950), Anatomy of a Murder (1959)",,
James Woods,Salvador (1986),Ghosts of Mississippi (1996),
Jamie Foxx,Ray (2004),Collateral (2004),
Jane Fonda,"They Shoot Horses, Don't They? (1969), Klute (1971), Julia (1977), Coming Home (1978), The China Syndrome (1979), The Morning After (1986)",On Golden Pond (1981),
Janet Leigh,,Psycho (1960),
Janet McTeer,Tumbleweeds (1999),Albert Nobbs (2011),
Jared Leto,,Dallas Buyers Club (2013),
Javier Bardem,"Before Night Falls (2000), Biutiful (2010), Being the Ricardos (2021)",No Country for Old Men (2007),
Jaye Davidson,,The Crying Game (1992),
Jean Dujardin,The Artist (2011),,
