Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
06/28/1991,The Naked Gun 2½: The Smell of Fear,Frank Drebin discovers that his ex-girlfriend's new oil executive boyfriend is involved in a scheme to kidnap a scientist who advocates solar energy.,David Zucker,"Leslie Nielsen,
Priscilla Presley,
George Kennedy",Ira Newborn,Naked Gun 2
07/03/1991,Terminator 2: Judgment Day,"A cyborg like the one who failed to kill Sarah must now protect her teenage son John Connor from the T-1000, a shapeshifting android assassin.",James Cameron,"Arnold Schwarzenegger,
Linda Hamilton,
Robert Patrick",Brad Fiedel,
07/05/1991,Slacker,"Over a single day in Austin, the overducated, social misfits, and oddballs grapple with feelings of social exclusion and of political marginalization.",Richard Linklater,"Richard Linklater,
Kim Krizan,
Mark James",N/A,
07/10/1991,Regarding Henry,"In New York City, an attorney from a dysfunctional family struggles to regain his memory and recover speech and mobility after he survives a shooting.",Mike Nichols,"Harrison Ford,
Annette Bening,
Mikki Allen",Hans Zimmer,
07/12/1991,Boyz n the Hood,"Tre is sent to live with his father in South Central L.A., where he learns proper values. His friends Doughboy and Ricky are drawn into gang culture.",John Singleton,"Ice Cube,
Cuba Gooding Jr.,
Morris Chestnut",Stanley Clarke,
07/12/1991,Point Break,An FBI agent goes undercover to catch a gang of California surfers who may be bank robbers. He befriends their leader as well as a female surfer.,Kathryn Bigelow,"Patrick Swayze,
Keanu Reeves,
Gary Busey",Mark Isham,
07/19/1991,Bill & Ted's Bogus Journey,"In 2691, a tyrant builds android replicas of Bill and Ted and sends them to kill the originals, who end up recruiting Death to stop the ruin of their band.",Pete Hewitt,"Keanu Reeves,
Alex Winter,
William Sadler",David Newman,Bill & Ted 2
07/19/1991,Dutch,"A man agrees to bring his wealthy girlfriend's son Doyle home from his Georgia school to Chicago. The drive is difficult, with prostitutes and shelters.",Peter Faiman,"Ed O'Neill,
Ethan Embry,
JoBeth Williams",Alan Silvestri,
07/26/1991,Another You,A former mental patient is purposefully mistaken for a missing brewery heir by actors. A con man befriends him for a community service obligation.,Maurice Phillips,"Richard Pryor,
Gene Wilder,
Mercedes Ruehl",Charles Gross,
07/26/1991,Life Stinks,A rich businessman bets a corporate rival that he can live on the streets of L.A. for 30 days. He befriends skid row inhabitants and falls in love.,Mel Brooks,"Mel Brooks,
Lesley Ann Warren,
Jeffrey Tambor",John Morris,
07/26/1991,Mobsters,"In 1917 to 1931 New York, Lucky Luciano, Meyer Lansky, Bugsy Siegel, and Frank Costello build a bootlegging empire but clash with Mafia leaders.",Michael Karbelnikoff,"Christian Slater,
Patrick Dempsey,
Richard Grieco",Michael Small,
07/31/1991,Hot Shots!,"A talented, unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.",Jim Abrahams,"Charlie Sheen,
Cary Elwes,
Valeria Golino",Sylvester Levay,
08/02/1991,Doc Hollywood,A young doctor on his way to a Beverly Hills job interview crashes in a South Carolina town and is sentenced to 32 hours of work in a medical clinic.,Michael Caton-Jones,"Michael J. Fox,
Julie Warner,
Barnard Hughes",Carter Burwell,
08/09/1991,Double Impact,"In Hong Kong, twin baby brothers are separated when their parents are killed. 25 years later, a bodyguard reunites them to avenge their deaths.",Sheldon Lettich,"Jean-Claude van Damme,
Geoffrey Lewis,
Alan Scarfe",Arthur Kempel,
08/21/1991,Barton Fink,"In 1941, a renowned New York playwright moves to Hollywood to write for the movies but develops writer's block while staying in an eerie hotel.","Joel Coen,
Ethan Coen","John Turturro,
John Goodman,
Judy Davis",Carter Burwell,
08/23/1991,Dead Again,A woman who has lost her memory is taken in by an L.A. orphanage. A private eye tracks down her identity and finds a dramatic past life connection.,Kenneth Branagh,"Kenneth Branagh,
Emma Thompson,
Andy García",Patrick Doyle,
08/30/1991,Child's Play 3,"Chucky returns for revenge against Andy, the young boy who defeated him, and now a teenager living in a military academy.",Jack Bender,"Justin Whalin,
Brad Dourif,
Jeremy Sylvers","Cory Lerios,
John D'Andrea",
09/13/1991,Freddy's Dead: The Final Nightmare,"Dream-haunting Freddy Krueger returns to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",Rachel Talalay,"Lisa Zane,
Robert Englund,
Yaphet Kotto",Brian May,Nightmare on Elm Street 6
09/20/1991,The Fisher King,"Former radio DJ Jack, who unwittingly prompted a mass murder, finds redemption in helping Parry, a confused homeless man seeking the Holy Grail.",Terry Gilliam,"Robin Williams,
Jeff Bridges,
Amanda Plummer",George Fenton,
09/27/1991,Necessary Roughness,The Texas State University Armadillos are forced to start the season with new coaches and players after all but one player are banned for violations.,Stan Dragoti,"Scott Bakula,
Robert Loggia,
Harley Jane Kozak",Bill Conti,
09/29/1991,My Own Private Idaho,Street hustler Mike and the Portland mayor's son Scott travel to Idaho to find Mike's brother then to Italy to locate Mike's mother. Mike falls for Scott.,Gus Van Sant,"River Phoenix,
Keanu Reeves,
James Russo",Bill Stafford,
10/04/1991,Ricochet,A Los Angeles district attorney faces a vengeful criminal he arrested when he was a cop. He is believed insane and framed for embezzling funds.,Russell Mulcahy,"Denzel Washington,
John Lithgow,
Ice-T",Alan Silvestri,
10/04/1991,Suburban Commando,"After failing to rescue a president, interstellar hero Shep Ramsey crash-lands on Earth. He moves to the cabin of a meek architect Charlie and his wife.",Burt Kennedy,"Hulk Hogan,
Christopher Lloyd,
Shelley Duvall",David Michael Frank,
10/04/1991,The Man in the Moon,"In 1957 Louisiana, 14-year-old Dani is close with her sister, who is soon going to college. Both girls fall in love with the same 17-year-old neighbor.",Robert Mulligan,"Reese Witherspoon,
Emily Warfield,
Sam Waterston",James Newton Howard,
10/11/1991,City of Hope,"In New Jersey, an old apartment block stands in the way of a major commercial development. The buildings' contractor Joe is pushed to torch them.",John Sayles,"Vincent Spano,
Tony Lo Bianco,
Joe Morton",Mason Daring,
10/11/1991,Frankie and Johnny,"In New York City, a scarred café waitress meets a man newly released from prison when he is hired as a cook. They discuss their lives and fall in love.",Garry Marshall,"Al Pacino,
Michelle Pfeiffer,
Héctor Elizondo",Marvin Hamlisch,
10/11/1991,Little Man Tate,"A single mother raises a 7-year-old child prodigy with remarkable math and reading capabilities on her own, struggling to enable him to show his gift.",Jodie Foster,"Adam Hann-Byrd,
Jodie Foster,
Dianne Wiest",Mark Isham,
10/23/1991,House Party 2,"When Kid's college money is stolen by a crooked music promoter who promised a record deal, Play resolves to stage a pajama party in a dining hall.","Doug McHenry,
George Jackson","Christopher Reid,
Christopher Martin,
Martin Lawrence",Vassal Benford,
10/25/1991,Curly Sue,"In Chicago, a homeless man and a small girl, who survive by conning people, encounter a divorce lawyer who soon allows the two to stay with her.",John Hughes,"James Belushi,
Kelly Lynch,
Alisan Porter",Georges Delerue,
11/01/1991,Billy Bathgate,"In 1935, a poor Irish-American teenager finds first love while becoming the gofer protégé of Jewish gangster Dutch Schultz, who commits murders.",Robert Benton,"Dustin Hoffman,
Nicole Kidman,
Loren Dean",Mark Isham,
11/01/1991,Highlander II: The Quickening,"In 2024, MacLeod, after regaining his youth and immortal abilities, frees Earth from the Shield, an artificial ozone controlled by a corrupt corporation.",Russell Mulcahy,"Christopher Lambert,
Sean Connery,
Virginia Madsen",Stewart Copeland,
11/01/1991,The People Under the Stairs,"Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",Wes Craven,"Brandon Adams,
Everett McGill,
Wendy Robie",Don Peake,
11/15/1991,Cape Fear,"In North Carolina, convicted rapist Max is let out from prison after a 14-year sentence. He frightens the family of the lawyer who botched his defense.",Martin Scorsese,"Robert De Niro,
Nick Nolte,
Jessica Lange","Bernard Herrmann,
Elmer Bernstein",
11/22/1991,An American Tail: Fievel Goes West,"The Mousekewitzs decide to move to the West, where mice and cats live in peace, unaware they are falling into the trap of an oily con artist cat.","Phil Nibbelink,
Simon Wells","Phillip Glasser,
James Stewart,
Erica Yohn",James Horner,An American Tail 2
11/22/1991,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Gary Trousdale,
Kirk Wise","Paige O'Hara,
Robby Benson,
Richard White",Alan Menken,
11/22/1991,The Addams Family,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,Barry Sonnenfeld,"Anjelica Huston,
Raul Julia,
Christopher Lloyd",Marc Shaiman,
11/27/1991,My Girl,"In 1972, 11-year-old Vada's father heads a funeral parlor. She is in love with her English teacher. Her best friend Thomas sticks with her until his death.",Howard Zieff,"Dan Aykroyd,
Jamie Lee Curtis,
Macaulay Culkin",James Newton Howard,
12/06/1991,Star Trek VI: The Undiscovered Country,"Before retirement, Kirk and McCoy are charged with killing the Klingon Chancellor and put in a frozen prison. Their crew must help them escape.",Nicholas Meyer,"William Shatner,
Leonard Nimoy,
DeForest Kelley",Cliff Eidelman,
12/11/1991,Hook,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit to challenge his enemy.",Steven Spielberg,"Robin Williams,
Dustin Hoffman,
Julia Roberts",John Williams,
