Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
12/11/1992,Passion Fish,"After soap opera star Mary-Alice is left paraplegic, she cannot recover emotionally and mentally until she befriends her also struggling nurse Chantelle.",John Sayles,"Mary McDonnell,
Alfre Woodard,
Leo Burmester",Mason Daring,
12/11/1992,The Muppet Christmas Carol,"In 1840s London, stingy miser Scrooge is visited by spirits of three Christmases: past, present, and future. Charles Dickens and Rizzo share the tale.",Brian Henson,"Michael Caine,
Steven Mackintosh,
Meredith Braun",Miles Goodman,
12/16/1992,Forever Young,"In 1939, pilot Daniel is frozen when his girlfriend enters a coma. He awakens 53 years later. Claire and her son Nat help him while he ages suddenly.",Steve Miner,"Mel Gibson,
Elijah Wood,
Jamie Lee Curtis",Jerry Goldsmith,
12/18/1992,Leap of Faith,A fake faith healer is stranded in a small Kansas town in need of rain to save its crops. He and his manager fool its people as a sheriff investigates.,Richard Pearce,"Steve Martin,
Debra Winger,
Liam Neeson",Cliff Eidelman,
12/18/1992,Toys,"When a lieutenant general inherits a toy company and makes war toys, his brother Leslie and a set of employees work to save Zevo Toys' reputation.",Barry Levinson,"Robin Williams,
Michael Gambon,
Joan Cusack","Hans Zimmer,
Trevor Horn",
12/23/1992,Scent of a Woman,"To help pay for a trip home for Christmas, a high school student agrees to look after a blind, retired Army colonel over Thanksgiving in New York City. ",Martin Brest,"Al Pacino,
Chris O'Donnell,
James Rebhorn",Thomas Newman,
12/25/1992,Chaplin,"An elderly man discusses his autobiography with his editor, recounting his poor childhood and his success after the invention of the Little Tramp.",Richard Attenborough,"Robert Downey Jr.
Marisa Tomei,
Geraldine Chaplin",John Barry,
12/25/1992,Hoffa,"An American labor union figure organizes a bitter Teamsters strike, works with organized crime syndicates, and mysteriously disappears in 1975.",Danny DeVito,"Jack Nicholson,
Danny DeVito,
Armand Assante",David Newman,
12/25/1992,Trespass,"Two firemen get a map to stolen gold hidden in a closed factory in St. Louis, where they are locked in by a black gang who consider it their territory.",Walter Hill,"Bill Paxton,
Ice-T,
William Sadler",Ry Cooder,
12/30/1992,Lorenzo's Oil,"A 5-year-old boy develops ALD, a disease so rare that nobody is working on a cure. His parents try to learn all about it to tackle the issue themselves.",George Miller,"Nick Nolte,
Susan Sarandon,
Zack O'Malley Greenburg",N/A,
01/08/1993,Leprechaun,"In North Dakota, a vengeful leprechaun believes a family has stolen his pot of gold. As he hunts them, they try to locate his gold to vanquish him. ",Mark Jones,"Warwick Davis,
Jennifer Aniston,
Mark Holton","Kevin Kiner,
Robert J. Walsh",
01/15/1993,Alive,"In 1972, a Uruguayan rugby team is stranded in the Andes after a plane crash. To survive for 72 days, they make choices like eating dead friends.",Frank Marshall,"Ethan Hawke,
Vincent Spano,
Josh Hamilton",James Newton Howard,
01/15/1993,Nowhere to Run,"Escaped convict Sam goes to a farmland owned by a widow. When he learns a ruthless contractor is aiming to take over her land, he helps her fight.",Robert Harmon,"Jean-Claude Van Damme,
Rosanna Arquette,
Kieran Culkin",Mark Isham,
02/03/1993,Homeward Bound: The Incredible Journey,"An American Bulldog puppy, a wise old Golden Retriever, and a pampered Himalayan cat journey from a ranch through mountains to reach home.",Duwayne Dunham,"Michael J. Fox,
Don Ameche,
Sally Field",Bruce Broughton,
02/05/1993,National Lampoon's Loaded Weapon 1,An L.A. detective with a cocaine cookie recipe is murdered. Two cops stop the laundering culprits before they can dope the U.S. with a cookie drive.,Gene Quintano,"Emilio Estevez,
Samuel L. Jackson,
Jon Lovitz",Robert Folk,
02/05/1993,The Vanishing,"Jeff's girlfriend disappears, sending him on a years-long quest to find her. Her abductor takes him through the same steps that led to the crime.",George Sluizer,"Jeff Bridges,
Kiefer Sutherland,
Nancy Travis",Jerry Goldsmith,
02/12/1993,Dead Alive,"A young man's mother is bitten by a Sumatran Rat-Monkey. She gets sick and dies, but comes back to life, killing and eating dogs and neighbors.",Peter Jackson,"Timothy Balme,
Diana Peñalver,
Elizabeth Moody",Peter Dasent,
02/12/1993,Groundhog Day,"A cynical TV weatherman covering a yearly event in Punxsutawney is trapped in a time loop. As he lives February 2nd over and over, he falls in love.",Harold Ramis,"Bill Murray,
Andie MacDowell,
Chris Elliott",George Fenton,
02/12/1993,Strictly Ballroom,"In Sydney, maverick ballroom dancer Scott risks his career by performing a flashy routine and sets out to succeed with a new partner, rookie Fran.",Baz Luhrmann,"Paul Mercurio,
Tara Morice,
Bill Hunter",David Hirschfelder,
02/19/1993,Army of Darkness,"A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home.",Sam Raimi,"Bruce Campbell,
Embeth Davidtz,
Marcus Gilbert",Joseph LoDuca,Evil Dead 3
02/26/1993,El Mariachi,"In Mexico, a traveling mariachi is mistaken for a murderous criminal because he has a guitar case and must hide from a bloodthirsty gang in a bar.",Robert Rodriguez,"Carlos Gallardo,
Consuelo Gómez,
Peter Marquardt","Eric Guthrie,
Chris Knudson,
Álvaro Rodriguez,
Cecilio Rodriguez,
Mark Trujillo",Mexico 1
02/26/1993,Falling Down,"In Los Angeles, a divorced father frustrated with the flaws he sees in society begins to violently lash out with a baseball bat, a knife, and a gun.",Joel Schumacher,"Michael Douglas,
Robert Duvall,
Barbara Hershey",James Newton Howard,
03/05/1993,Mad Dog and Glory,"When Chicago police photographer Wayne saves the life of local mob boss Frank Milo, he receives a weird one-week gift: beautiful bartender Glory.",John McNaughton,"Robert De Niro,
Uma Thurman,
Bill Murray","Elmer Bernstein,
Terje Rypdal",
03/12/1993,A Far Off Place,"When a gang of African poachers raid her family's farm, Nonni, a visiting American teen, and a local bushman guide escape into the Kalahari desert.",Mikael Salomon,"Reese Witherspoon,
Ethan Embry,
Jack Thompson",James Horner,
03/12/1993,CB4,"Aspiring rapper Albert steals the crime history and identity of Gusto, a jailed crime kingpin who wants him dead after he forms a controversial rap band.",Tamra Davis,"Chris Rock,
Allen Payne,
Deezer D",John Barnes,
03/12/1993,Fire in the Sky,"In 1975 Arizona, a logger disappears for five days in an alleged encounter with a flying saucer. His accused co-workers endure ridicule and disdain.",Robert Lieberman,"D. B. Sweeney,
Robert Patrick,
Craig Sheffer",Mark Isham,
03/19/1993,Teenage Mutant Ninja Turtles III,"When April is transported to 1603 Japan by a scepter, four turtles go back in time to rescue her, teaming up with rebel leader against a strict lord.",Stuart Gillard,"Elias Koteas,
Paige Turco,
Vivian Wu",John Du Prez,
04/02/1993,Cop and a Half,"In Tampa, skilled policeman Nick reluctantly takes in eight-year-old Devon as his partner to look into a warehouse murder. Nick dreams of being a cop.",Henry Winkler,"Burt Reynolds,
Norman D. Golden II,
Ruby Dee",Alan Silvestri,
04/02/1993,The Crush,"A 28-year-old journalist becomes the center of attention for a 14-year-old girl, who proceeds to sabotage his life after he refuses her advances.",Alan Shapiro,"Cary Elwes,
Alicia Silverstone,
Jennifer Rubin",Graeme Revell,
04/07/1993,Indecent Proposal,"David and Diana's relationship is put into turmoil by billionaire John's offer of $1 million for Diana to spend a night with him. Low on cash, they accept.",Adrian Lyne,"Robert Redford,
Demi Moore,
Woody Harrelson",John Barry,
04/07/1993,The Sandlot,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",David Mickey Evans,"Tom Guiry,
Mike Vitar,
Patrick Renna",David Newman,
04/09/1993,Sidekicks,"In Houston, a bullied teen who fantasizes about being Chuck Norris' sidekick trains in martial arts with an old Chinese man to fulfill his dreams.",Aaron Norris,"Jonathan Brandis,
Chuck Norris,
Beau Bridges",Alan Silvestri,
04/09/1993,This Boy's Life,"In 1957, Toby and his mother settle in Concrete, Washington, where she marries a mechanic that later abuses them as the boy dreams of leaving.",Michael Caton-Jones,"Leonardo DiCaprio,
Robert De Niro,
Ellen Barkin",Carter Burwell,
04/16/1993,Benny & Joon,"A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton, but her protective brother worries for her.",Jeremiah S. Chechik,"Johnny Depp,
Mary Stuart Masterson,
Aidan Quinn",Rachel Portman,
04/16/1993,Boiling Point,"When Ronnie kills an undercover secret service agent, his partner Jimmy vows revenge and has a week to catch the killers before being transferred.",James B. Harris,"Wesley Snipes,
Dennis Hopper,
Lolita Davidovich","John D'Andrea,
Buddy Feyne,
Cory Lerios",
04/23/1993,The Dark Half,An author of violent pulp thrillers decides to kill off his pseudonym in a false ceremony. This starts a string of murders that resemble his own literature.,George A. Romero,"Timothy Hutton,
Amy Madigan,
Michael Rooker",Christopher Young,
04/23/1993,Who's the Man?,"In Harlem, bumbling barbers Dré and Ed become policemen at the suggestion of mentor Nick, who is then killed. They detect a land developer crime.",Ted Demme,"Doctor Dré,
Ed Lover,
Ice-T","Michael Wolff,
Nic. tenBroek",
05/07/1993,Dave,A temp agency owner is recruited by the Secret Service to become a momentary stand-in for the U.S. President. He falls in love with the First Lady.,Ivan Reitman,"Kevin Kline,
Sigourney Weaver,
Frank Langella",James Newton Howard,
05/07/1993,Dragon: The Bruce Lee Story,"Haunted by demons, Bruce is taught martial arts before he moves from Hong Kong to the U.S. He marries white Linda before he becomes an actor.",Rob Cohen,"Jason Scott Lee,
Lauren Holly,
Nancy Kwan",Randy Edelman,
05/07/1993,Much Ado About Nothing,"Young lovers Hero and Claudio, preparing to wed, conspire with Don Pedro to get verbal sparring partners Benedick and Beatrice to wed as well.",Kenneth Branagh,"Kenneth Branagh,
Emma Thompson,
Robert Sean Leonard",Patrick Doyle,
05/21/1993,Hot Shots! Part Deux,"Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners, including his old flame's husband, and all of their previous rescue teams.",Jim Abrahams,"Charlie Sheen,
Lloyd Bridges,
Valeria Golino",Basil Poledouris,Hot Shots! 2
05/21/1993,Sliver,"In New York City, book editor Carly moves 113, a building owned by Zeke, who spies on tenants. A  murder of previous tenant Naomi is investigated.",Phillip Noyce,"Sharon Stone,
William Baldwin,
Tom Berenger",Howard Shore,
05/26/1993,Menace II Society,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,The Hughes Brothers,"Tyrin Turner,
Jada Pinkett,
Bill Duke",QDIII,
05/28/1993,Cliffhanger,Mountain climber Gabe becomes embroiled in a heist of a U.S. Treasury plane flying through the Rocky Mountains by thieves led by a British man.,Renny Harlin,"Sylvester Stallone,
John Lithgow,
Michael Rooker",Trevor Jones,
05/28/1993,Made in America,"Zora, whose smart black mother Sarah conceived with the sperm of an anonymous donor, discovers her father is Hal, a white, televised car salesman.",Richard Benjamin,"Whoopi Goldberg,
Ted Danson,
Nia Long",Mark Isham,
05/28/1993,Super Mario Bros.,"Brooklyn plumbers Mario and Luigi must travel to another dimension to Dinohattan to save Princess Daisy from President Koopa, who wants her rock.","Rocky Morton,
Annabel Jankel","Bob Hoskins,
John Leguizamo,
Dennis Hopper",Alan Silvestri,
06/11/1993,Jurassic Park,"On Isla Nubar, paleontologist Alan, paleobotanist Ellie, and chaos theorist Ian visit a park and save two kids after a power failure releases dinosaurs.",Steven Spielberg,"Sam Neill,
Laura Dern,
Jeff Goldblum",John Williams,
06/18/1993,Last Action Hero,"A teenager with a widowed mother is transported into the world of movie character Jack Slater, an L.A. cop. A henchman escapes to the real world.",John McTiernan,"Arnold Schwarzenegger,
Austin O'Brien,
Charles Dance",Michael Kamen,
06/25/1993,Dennis the Menace,"When his parents have to go out of town, Dennis stays with Mr. and Mrs. Wilson. He drives Mr. Wilson crazy even though he is just trying to help.",Nick Castle,"Mason Gamble,
Walter Matthau,
Joan Plowright",Jerry Goldsmith,
06/25/1993,Sleepless in Seattle,"Widowed Sam's son calls a radio show. Annie, a Baltimore reporter, falls for him hearing him talk of love. Although she is engaged, she writes to him.",Nora Ephron,"Tom Hanks,
Meg Ryan,
Bill Pullman",Marc Shaiman,
06/25/1993,What's Love Got to Do with It,Anna Mae loves singing in her Tennessee church choir. She pursues a career in St. Louis where Ike helps her succeed but also physically abuses her.,Brian Gibson,"Angela Bassett,
Laurence Fishburne,
Cora Lee Day",Stanley Clarke,
06/30/1993,The Firm,"In Memphis, lawyer Mitch joins a prestigious team and enjoys its perks. He discovers it helps clients conceal money and threatens employee families.",Sydney Pollack,"Tom Cruise,
Jeanne Tripplehorn,
Gene Hackman",Dave Grusin,
07/02/1993,Son in Law,"Having tasted L.A. college life, a changed farm girl returns home for Thanksgiving break with her flamboyant best friend and lies they are engaged.",Steve Rash,"Pauly Shore,
Carla Gugino,
Lane Smith",Richard Gibbs,
07/09/1993,In the Line of Fire,"Secret Service agent Frank Horrigan, who failed to save Kennedy, is determined to prevent ex-CIA assassin Mitch from killing the current President.",Wolfgang Petersen,"Clint Eastwood,
John Malkovich,
Rene Russo",Ennio Morricone,
07/09/1993,Rookie of the Year,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs.",Daniel Stern,"Thomas Ian Nicholas,
Gary Busey,
Dan Hedaya",Bill Conti,
07/16/1993,Free Willy,"In Portland, when a boy learns that a beloved killer whale is to be killed by the aquarium owners, he risks everything to free the whale.",Simon Wincer,"Jason James Richter,
Lori Petty,
Jayne Atkinson",Basil Poledouris,
07/16/1993,Hocus Pocus,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of mean witches that were executed in the 17th century.",Kenny Ortega,"Bette Midler,
Sarah Jessica Parker,
Kathy Najimy",John Debney,
07/23/1993,Coneheads,"With enormous heads and robotic walks, aliens Beldar and Prymatt and their daughter Connie must live as humans in Paramus, New Jersey.",Steve Barron,"Dan Aykroyd,
Jane Curtin,
Michelle Burke",David Newman,
07/23/1993,Poetic Justice,"After seeing her boyfriend killed, a poet becomes a hairdresser. She gets a ride to Oakland with her friend and a postal worker she grows close with.",John Singleton,"Janet Jackson,
Tupac Shakur,
Tyra Ferrell",Stanley Clarke,
07/28/1993,Robin Hood: Men in Tights,"Robin escapes from a Jerusalem prison, returning to learn he must regain his estate from Prince John. Marian's chastity belt proves a challenge.",Mel Brooks,"Cary Elwes,
Richard Lewis,
Roger Rees",Hummie Mann,
07/30/1993,Rising Sun,"When a call girl is found murdered in a Japanese company's L.A. office, two detectives coordinate talk between executives and an investigating cop.",Philip Kaufman,"Sean Connery,
Wesley Snipes,
Harvey Keitel",Tōru Takemitsu,
07/30/1993,So I Married an Axe Murderer,"A San Francisco beat poet who fears commitment suspects his girlfriend, later his wife, may have a habit of killing off her husbands on honeymoons.",Thomas Schlamme,"Mike Myers,
Nancy Travis,
Anthony LaPaglia",Bruce Broughton,
08/06/1993,The Fugitive,"After being accused of killing his wife and unjustly sentenced to death, Richard Kimble sets out to find the real killer while chased by a U.S. Marshal.",Andrew Davis,"Harrison Ford,
Tommy Lee Jones,
Sela Ward",James Newton Howard,
08/06/1993,The Meteor Man,"A high school teacher from a rough Washington, D.C. neighborhood is hit by a meteorite and then becomes a superhero who takes on a local gang.",Robert Townsend,"Robert Townsend,
Marla Gibbs,
Eddie Griffin",Cliff Eidelman,
08/13/1993,Jason Goes to Hell: The Final Friday,"After Jason Voorhees is blown to bits by a special FBI task force, everyone assumes that he is dead. Jason is reborn with the bone-chilling ability to assume the identity of anyone he touches.",Adam Marcus,"John D. LeMay,
Kari Keegan,
Allison Smith",Harry Manfredini,Friday the 13th 9
08/18/1993,Manhattan Murder Mystery,"Larry and his wife Carol meet older neighbors but, the following night, one is found to have died of a heart attack. They distrust her cheerful husband.",Woody Allen,"Diane Keaton,
Woody Allen,
Alan Alda",N/A,
08/20/1993,Hard Target,A woman hires a drifter as her guide through New Orleans in search of her missing father. They find a deadly hunting game behind his disappearance.,John Woo,"Jean-Claude Van Damme,
Lance Henriksen,
Yancy Butler","Graeme Revell,
Tim Simonec",
08/20/1993,Surf Ninjas,"In L.A., after an attack by ninjas, two teen surfers learn from a warrior they are heirs to the throne of Patusan and travel to overthrow evil Colonel Chi.",Neal Israel,"Ernie Reyes Jr.,
Rob Schneider,
Tone Lōc",David Kitay,
08/25/1993,The Man Without a Face,"In 1968 Maine, Chuck wants to leave home but must pass a military academy's entrance exam. He is tutored by a disfigured recluse living nearby.",Mel Gibson,"Mel Gibson,
Margaret Whitton,
Fay Masterson",James Horner,
08/27/1993,Needful Things,"In Castle Rock, strange Leland Gaunt establishes an antique store that seems to stock all desires of his shoppers with prices heavier than they expect.",Fraser C. Heston,"Ed Harris,
Max von Sydow,
Bonnie Bedelia",Patrick Doyle,
08/27/1993,Son of the Pink Panther,"Charles Dreyfus encounters Jacques Gambrelli, a police officer who painfully reminds him of Inspector Clouseau and is actually Clouseu's son.",Blake Edwards,"Roberto Benigni,
Herbert Lom,
Debrah Farentino",Henry Mancini,The Pink Panther 9
09/03/1993,Kalifornia,"A journalist and a photographer head on a tour of infamous murder sites with psychopathic parolee Early, himself a murderer, and his naive girlfriend.",Dominic Sena,"Brad Pitt,
Juliette Lewis,
David Duchovny",Carter Burwell,
09/10/1993,The Joy Luck Club,Four Chinese immigrants living in San Francisco all have adult Chinese-American daughters. They reveal their hidden pasts shaped by their cultures.,Wayne Wang,"Tsai Chin,
Kieu Chinh,
Lisa Lu",Rachel Portman,
09/10/1993,True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. The Mafia track the thieves down.",Tony Scott,"Christian Slater,
Patricia Arquette,
Dennis Hopper",Hans Zimmer,
09/17/1993,Airborne,"A California teenager is sent to Cincinnati to stay with his aunt, uncle, and cousin. He is bullied by hockey players and joins a big rollerblading race.",Rob Bowman,"Shane McDermott,
Seth Green,
Brittney Powell",Stewart Copeland,
09/17/1993,Striking Distance,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop but is demoted to river duty.",Rowdy Herrington,"Bruce Willis
Sarah Jessica Parker
Dennis Farina",Brad Fiedel,
09/17/1993,The Age of Innocence,"In 1870s New York, lawyer Newland Archer falls for a countess separated from her husband, but he is still engaged to her young, innocent cousin.",Martin Scorsese,"Daniel Day-Lewis,
Michelle Pfeiffer,
Winona Ryder",Elmer Bernstein,
09/24/1993,Dazed and Confused,"In 1976 Austin, on the last day of school, seniors haze incoming freshmen, football players think of signing no-drug pledges, and a keg party is held.",Richard Linklater,"Jason London,
Wiley Wiggins,
Sasha Jenson",N/A,
09/24/1993,The Good Son,"After his mother dies, a young boy stays in Maine with his aunt and uncle. He befriends his cousin, who shows increasing signs of sinister behavior.",Joseph Ruben,"Macaulay Culkin,
Elijah Wood,
Wendy Crewson",Elmer Bernstein,
09/24/1993,The Program,"Several players try to cope with the pressures of playing football at Eastern State University. Some turn to drinks, some to drugs, and others to study.",David S. Ward,"James Caan,
Halle Berry,
Omar Epps",Michel Colombier,
10/01/1993,A Bronx Tale,"In 1960s New York, Italian-American Calogero is close to Mafia boss Sonny. He is torn between his organized crime and the values of his own father.",Robert De Niro,"Robert De Niro,
Chazz Palminteri,
Lillo Brancato, Jr.",N/A,
10/01/1993,Cool Runnings,"In 1987, when a Jamaican sprinter is disqualified from the Olympics, he requests help from shamed coach Irv to start the first Jamaican bobsled team.",Jon Turteltaub,"Leon Robinson,
Doug E. Doug,
Rawle D. Lewis",Hans Zimmer,
10/01/1993,Malice,"College dean Andy and art teacher Tracy let Jed, a surgeon, rent part of their home. When she has pain, he removes ovaries with Andy's permission.",Harold Becker,"Alec Baldwin,
Nicole Kidman,
Bill Pullman",Jerry Goldsmith,
10/01/1993,Short Cuts,"In her car, an waitress accidentally hits a boy who lapses into a coma. A baker harasses the boy's family when they fail to pick up his birthday cake.",Robert Altman,"Andie MacDowell,
Bruce Davison,
Julianne Moore",Mark Isham,
10/08/1993,Demolition Man,"In 2032 San Angeles, police officer John Spartan is thawed from an unjust cryogenic prison stay to find violent Simon Phoenix in a peaceful society.",Marco Brambilla,"Sylvester Stallone,
Wesley Snipes,
Sandra Bullock",Elliot Goldenthal,
10/08/1993,Gettysburg,"In 1863, the Northern and Southern forces fight in Pennsylvania in a decisive battle of the American Civil War. Lee and Chamberlain lead their men.",Ronald F. Maxwell,"Tom Berenger,
Jeff Daniels,
Martin Sheen",Randy Edelman,
10/15/1993,Fearless,"After an air disaster, a survivor emerges changed. He is unable to connect to his former life or to his wife, and he feels godlike and invulnerable.",Peter Weir,"Jeff Bridges,
Isabella Rossellini,
Rosie Perez",Maurice Jarre,
10/15/1993,Judgment Night,"In Chicago, four friends taking a shortcut toward a boxing match witness a murder by a drug dealer gang which leaves them running for their lives.",Stephen Hopkins,"Emilio Estevez,
Cuba Gooding Jr.,
Denis Leary",Alan Silvestri,
10/15/1993,Rudy,A student told he is too small to play college football is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,David Anspaugh,"Sean Astin,
Ned Beatty,
Charles S. Dutton",Jerry Goldsmith,
10/15/1993,The Beverly Hillbillies,An Arkansas redneck becomes a billionaire after he finds crude oil missing his target while hunting. He moves his family to California for his daughter.,Penelope Spheeris,"Jim Varney,
Diedrich Bader,
Erika Eleniak",Lalo Schifrin,
10/29/1993,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, learns about Christmas Town and is suddenly obsessed with the holiday and sharing it with his residents.",Henry Selick,"Chris Sarandon,
Catherine O'Hara,
William Hickey",Danny Elfman,
11/05/1993,Look Who's Talking Now,"As James starts a pilot job, Mollie looks for a new one. They adopt crossbreed Rocks and indulged pedigree poodle Daphne. They work to get along.",Tom Ropelewski,"John Travolta,
Kirstie Alley,
Danny DeVito",William Ross,Look Who's Talking 3
11/05/1993,RoboCop 3,A greedy corporation develops Delta City to replace the derelict Detroit. A cyborg cop joins the civilian resident resistance against armed forces.,Fred Dekker,"Robert Burke,
Nancy Allen,
Rip Torn",Basil Poledouris,
11/05/1993,The Remains of the Day,A proper butler who sacrificed to service in the years leading up to World War II realizes late how misguided his loyalty was to his lordly employer.,James Ivory,"Anthony Hopkins,
Emma Thompson,
James Fox",Richard Robbins,
11/12/1993,Carlito's Way,"In 1975 New York, a Puerto Rican former convict, just released from prison, vows to avoid crime but is forced back in it after he buys into a nightclub.",Brian De Palma,"Al Pacino,
Sean Penn,
Penelope Ann Miller",Patrick Doyle,
11/12/1993,My Life,"Ukrainian-American Bob has kidney cancer, so he films home movies to preserve himself for his son in his wife Gail's womb. He reunites with parents.",Bruce Joel Rubin,"Michael Keaton,
Nicole Kidman,
Haing S. Ngor",John Barry,
11/12/1993,The Piano,"In the mid-19th century, a mute woman is sent to New Zealand with her daughter and piano for a marriage to a wealthy landowner, but is soon sought by a local worker on the plantation.",Jane Campion,"Holly Hunter,
Harvey Keitel,
Sam Neill",Michael Nyman,
11/12/1993,The Three Musketeers,"In 1625 France, d'Artagnan heads to Paris to join the musketeers, but only three remain due to the evil cardinal. He joins them to save the king.",Stephen Herek,"Charlie Sheen,
Kiefer Sutherland,
Chris O'Donnell",Michael Kamen,
11/19/1993,Addams Family Values,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",Barry Sonnenfeld,"Anjelica Huston,
Raul Julia,
Christopher Lloyd",Marc Shaiman,Addams Family 2
11/24/1993,A Perfect World,"A kidnapped boy strikes up a friendship with his captor, an escaped convict on the run from the law, while a search is headed by a Texas Ranger.",Clint Eastwood,"Kevin Costner,
Clint Eastwood,
Laura Dern",Lennie Niehaus,
11/24/1993,Mrs. Doubtfire,"In San Francisco, divorced voice actor and father Daniel pretends to be a female nanny so he can spend time with his three children held in custody.",Chris Columbus,"Robin Williams,
Sally Field,
Pierce Brosnan",Howard Shore,
12/08/1993,Six Degrees of Separation,"In New York, socialite Ouisa Kittredge and dealer Flan find their lives moved and charmed by Paul, a con artist that claims he is their children's friend.",Fred Schepisi,"Stockard Channing,
Will Smith,
Donald Sutherland",Jerry Goldsmith,
12/10/1993,Geronimo: An American Legend,"In 1886, an adamant Apache leads warriors in an attack team that humiliates the U.S. government by evading capture as they reclaim what is theirs.",Walter Hill,"Jason Patric,
Robert Duvall,
Wes Studi",Ry Cooder,
12/10/1993,Sister Act 2: Back in the Habit,Las Vegas showgirl Deloris returns as Sister Mary Clarence to teach music to rude Catholic students whose San Francisco school is slated for closure.,Bill Duke,"Whoopi Goldberg,
Kathy Najimy,
James Coburn","Marc Shaiman,
Miles Goodman",
12/10/1993,Wayne's World 2,"After Wayne has a dream of a rock concert, he and Garth try to promote it. Cassandra has a new manager trying to take her from boyfriend Wayne.",Stephen Surjik,"Mike Myers,
Dana Carvey,
Christopher Walken",Carter Burwell,
12/15/1993,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar saves Jewish refugees from the Holocaust by employing them in his factories.",Steven Spielberg,"Liam Neeson,
Ben Kingsley,
Ralph Fiennes",John Williams,
12/17/1993,Beethoven's 2nd,A St. Bernard dog becomes a father after meeting dog Missy owned by a woman planning divorce. The Newton kids hide their puppies for protection.,Rod Daniel,"Charles Grodin,
Bonnie Hunt,
Debi Mazar",Randy Edelman,
12/17/1993,The Pelican Brief,"In New Orleans, a law student writes a legal brief about the murders of two Supreme Court justices. When killers target her, a reporter works with her.",Alan J. Pakula,"Julia Roberts,
Denzel Washington,
Sam Shepard",James Horner,
12/17/1993,What's Eating Gilbert Grape,"In Iowa, 24-year-old Gilbert struggles to care for his mentally impaired brother Arnie and morbidly obese mother while pursuing his own happiness.",Lasse Hallström,"Johnny Depp,
Juliette Lewis,
Leonardo DiCaprio","Alan Parker,
Björn Isfält",
12/22/1993,Philadelphia,"When associate Beckett is fired by his law firm for having AIDS, he hires Miller, a homophobic black lawyer, to argue a suit as he slowly grows weaker.",Jonathan Demme,"Tom Hanks,
Denzel Washington,
Jason Robards",Howard Shore,
12/25/1993,Batman: Mask of the Phantasm,"Batman is accused of mob boss murders done by a new vigilante. Bruce prepares to marry Andrea, who helps him recover from a need for revenge.","Eric Radomski,
Bruce Timm","Kevin Conroy,
Mark Hamill,
Dana Delany",Shirley Walker,
12/25/1993,Grumpy Old Men,"In Minnesota, a lifelong feud between two elderly neighbors since childhood only gets worse when a new female neighbor moves across the street.",Donald Petrie,"Jack Lemmon,
Walter Matthau,
Ann-Margret",Alan Silvestri,
12/25/1993,Shadowlands,"C. S. Lewis, a famous Christian theologian, writer, and professor, leads a passionless life until he meets spirited poet Joy Davidson from America.",Richard Attenborough,"Anthony Hopkins,
Debra Winger,
Edward Hardwicke",George Fenton,
12/25/1993,Tombstone,"Former lawman Wyatt Earp, his two brothers, and Doc Holliday want to settle down in Arizona, but they face the Cowboys, a violent band of outlaws.",George P. Cosmatos,"Kurt Russell,
Val Kilmer,
Michael Biehn",Bruce Broughton,
12/29/1993,In the Name of the Father,A man's coerced confession to an IRA bombing results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,"Daniel Day-Lewis,
Emma Thompson,
Pete Postlethwaite",Trevor Jones,
01/07/1994,The Air Up There,College basketball assistant coach Josh desires a promotion to head coach. He sees a home video of a prospect and travels to Kenya to recruit him.,Paul Michael Glaser,"Kevin Bacon,
Charles Gitonga Maina,
Yolanda Vazquez",David Newman,
01/12/1994,House Party 3,Kid is about to marry. Play plans to throw the best bachelor party ever. Kid's three cousins come to town and bring chaos after not getting to perform.,Eric Meza,"Christopher Reid,
Christopher Martin,
Bernie Mac",David Allen Jones,
01/14/1994,Body Snatchers,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,Abel Ferrara,"Gabrielle Anwar,
Terry Kinney,
Billy Wirth",Joe Delia,
01/14/1994,Death Wish V: The Face of Death,"While in the witness protection program in New York, Paul Kersey works vigilante justice when mobsters threaten his girlfriend and her business.",Allan A. Goldstein,"Charles Bronson,
Lesley-Anne Down,
Michael Parks",Terry Plumeri,
