Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
02/13/1972,Cabaret,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Bob Fosse,"Liza Minnelli,
Michael York,
Helmut Griem","John Kander,
Fred Ebb,
Ralph Burns",
03/09/1972,Tales from the Crypt,"In a tourist group, five corrupt strangers get lost in old catacombs and, after meeting the mysterious Crypt Keeper, receive visions of how they will die.",Freddie Francis,"Joan Collins,
Ian Hendry,
Richard Greene",Douglas Gamley,
03/10/1972,Silent Running,"In a future where all flora is extinct, an astronaut helped by three robots is ordered to destroy the last of Earth's botany kept in a greenhouse dome.",Douglas Trumbull,"Bruce Dern,
Cliff Potts,
Ron Rifkin",Peter Schickele,
03/10/1972,"What's Up, Doc?","Musicologist Howard and his fiancée Eunice go to San Francisco to compete for a research grant. He meets Judy, whose bag gets mixed with three.",Peter Bogdanovich,"Barbra Streisand,
Ryan O'Neal,
Madeline Kahn",Artie Butler,
03/24/1972,The Godfather,"Vito Corleone, the aging patriarch of a powerful New York mafia clan, transfers control of his clandestine empire to his reluctant war hero son.",Francis Ford Coppola,"Marlon Brando,
Al Pacino,
James Caan",Nino Rota,
04/12/1972,Fritz the Cat,"In 1960s New York, a college student cat scores easy sex and drugs. After smoking marijuana in Harlem, he hallucinates and ignites a shooting.",Ralph Bakshi,"Skip Hinnant,
Rosetta LeNoire,
John McCurry","Ed Bogas,
Ray Shanklin",
05/05/1972,"Play It Again, Sam",A film critic obsessed with Casablanca tries to get over his wife leaving him by dating with help from a married couple and Humphrey Bogart's ghost.,Herbert Ross,"Woody Allen,
Diane Keaton,
Tony Roberts",Billy Goldenberg,
05/17/1972,Blood from the Mummy's Tomb,An professor back from an expedition escorts to London the coffin of a magic Egyptian queen. Her spirit returns looking like the professor's daughter.,"Seth Holt,
Michael Carreras","Valerie Leon,
Andrew Keir,
Mark Edwards",Tristram Cary,Hammer Mummy 4
06/21/1972,Frenzy,"In London, serial killer Rusk murders women with his necktie. He implicates his ex-RAF serviceman friend Blaney, killing his ex-wife and a co-worker.",Alfred Hitchcock,"Jon Finch,
Alec McCowen,
Barry Foster",Ron Goodwin,
06/21/1972,Shaft's Big Score!,"When Shaft learns a newly dead friend ran a clean numbers racket with business as fronts, he finds himself in a war between greedy rival thugs.",Gordon Parks,"Richard Roundtree,
Moses Gunn,
Drew Bundini Brown",Gordon Parks,Shaft 2
06/30/1972,Conquest of the Planet of the Apes,"With the world embracing ape slavery, Caesar surfaces after 20 years of hiding from authorities and prepares to lead a revolt against humanity.",J. Lee Thompson,"Roddy McDowall,
Don Murray,
Ricardo Montalbán",Tom Scott,Planet of the Apes 4
07/12/1972,"Now You See Him, Now You Don't","At Medfield College, student Dexter Riley invents a spray that makes its wearer invisible. A.J. Arno steals it for his team and utilizes it to rob a bank.",Robert Butler,"Kurt Russell,
Cesar Romero,
Joe Flynn",Robert F. Brunner,The Computer Wore Tennis Shoes 2
07/19/1972,Joe Kidd,"In New Mexico, a former bounty hunter reluctantly helps a wealthy landowner track down a Mexican revolutionary leader organizing a peasant revolt.",John Sturges,"Clint Eastwood,
Robert Duvall,
John Saxon",Lalo Schifrin,
07/30/1972,Deliverance,"Intent on seeing a river before it is dammed and turned into a lake, an outdoor fanatic takes his friends on a dangerous canoeing trip.",John Boorman,"Jon Voight,
Burt Reynolds,
Ned Beatty",Eric Weissberg,
08/04/1972,Super Fly,A cocaine dealer begins to realize that his life will soon end with either prison or his death. He decides to build an escape from the life by making his biggest deal yet.,Gordon Parks Jr.,"Ron O'Neal,
Carl Lee,
Julius W. Harris",Curtis Mayfield,
08/14/1972,The Way of the Dragon,A man visits his relatives at their restaurant in Italy and has to help them defend against brutal gangsters harassing them.,Bruce Lee,"Bruce Lee,
Nora Miao,
Paul Wei",Joseph Koo,
08/16/1972,Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),"Seven unrelated stories are presented. They are tied together in that each loosely tries to answer a question about sex, all based on a single book.",Woody Allen,"Woody Allen,
John Carradine,
Lou Jacobi",Mundell Lowe,
08/22/1972,And Now for Something Completely Different,"Refilmed Monty Python's Flying Circus sketches include ""Marriage Guidance Counsellor"", ""Nudge Nudge"", ""The Dead Parrot"", and ""The Dirty Fork"".",Ian MacNaughton,"Graham Chapman,
John Cleese,
Terry Gilliam",Douglas Gamley,
08/30/1972,The Last House on the Left,Teenage Mari and a friend try to score marijuana before a concert but are kidnapped and brutalized by convicts. Her parents choose to take revenge.,Wes Craven,"Sandra Peabody,
Lucy Grantham,
David A. Hess",David Alexander Hess,
09/09/1972,Fist of Fury,"In 1930s Shanghai, Chen Zhen returns only to learn of his beloved teacher’s death. He confronts the Japanese racially harassing his schoolmates.",Lo Wei,"Bruce Lee,
Nora Miao,
Riki Hashimoto",Joseph Koo,
09/13/1972,The Ruling Class,"A member of the House of Lords dies, leaving his estate to his son who thinks he is Jesus Christ. The rest of their family plot to reclaim the estate.",Peter Medak,"Peter O'Toole,
Coral Browne,
William Mervyn",John Cameron,
11/17/1972,1776,John Adams and Benjamin Franklin push Thomas Jefferson to write a declaration of independence as they try to convince colonies to support them.,Peter H. Hunt,"William Daniels,
Howard Da Silva,
Ken Howard",Sherman Edwards,
11/17/1972,Dracula A.D. 1972,"In 1972 London, hippies performing a blood ritual resurrect Count Dracula from the dead. He works to locate descendants Lorrimer and Van Helsing.",Alan Gibson,"Christopher Lee,
Peter Cushing,
Stephanie Beacham",Mike Vickers,Hammer Dracula 7
11/17/1972,The Mechanic,"An aging hitman befriends his organization head's son, who wants to be a professional killer. It soon becomes clear that someone has betrayed them.",Michael Winner,"Charles Bronson,
Jan-Michael Vincent,
Keenan Wynn",Jerry Fielding,
12/11/1972,Man of La Mancha,Cervantes and his manservant are imprisoned by the Spanish Inquisition and perform a play about an old man losing his mind looking for adventure.,Arthur Hiller,"Peter O'Toole,
Sophia Loren,
James Coco",Laurence Rosenthal,
12/13/1972,The Poseidon Adventure,"On New Year's Eve, an aging luxury ocean liner is overturned by a tsunami. Trapped passengers led by a reverend attempt to escape to the ship's hull.",Ronald Neame,"Gene Hackman,
Ernest Borgnine,
Red Buttons",John Williams,
12/17/1972,The Heartbreak Kid,"Self-absorbed sporting goods salesman Lenny is married to Lila, who expects commitment. During a Miami honeymoon, he meets a college student.",Elaine May,"Charles Grodin,
Cybill Shepherd,
Jeannie Berlin",Garry Sherman,
12/19/1972,The Getaway,"An imprisoned robber's wife arranges his release on the condition they rob a bank in Texas. After a crime double-cross, the pair must flee to Mexico.",Sam Peckinpah,"Steve McQueen,
Ali MacGraw,
Ben Johnson",Quincy Jones,
12/21/1972,Jeremiah Johnson,A mountain man becomes the unwilling object of a lengthy vendetta by the Crow tribe and proves to be a match for their warriors in single combat.,Sydney Pollack,"Robert Redford,
Will Geer,
Stefan Gierasch","Tim McIntire,
John Rubinstein",
02/07/1973,Black Caesar,"Raised in Harlem, Tommy Gibbs becomes a successful mob boss but he clashes with the rival Mafia and his old enemy, dirty cop McKinney.",Larry Cohen,"Fred Williamson,
Gloria Hendry,
D'Urville Martin",James Brown,
02/14/1973,Save the Tiger,"In Los Angeles, a struggling World War II veteran has two days to let go of his morals, considering arson, if he wants his fashion company to survive.",John G. Avildsen,"Jack Lemmon,
Jack Gilford,
Laurie Heineman",Marvin Hamlisch,
02/22/1973,Walking Tall,"Buford retires from the professional wrestling and moves to a Tennessee town. He is attacked at a gambling spot, goes to trial, and becomes Sheriff.",Phil Karlson,"Joe Don Baker,
Elizabeth Hartman,
Lurene Tuttle",Walter Scharf,
03/01/1973,Charlotte's Web,A gentle and wise grey spider with a flair for promotion pledges to save a young pig from slaughter for dinner food.,"Charles A. Nichols,
Iwao Takamoto","Debbie Reynolds,
Paul Lynde,
Henry Gibson","Richard M. Sherman,
Robert B. Sherman,
Irwin Kostal",
03/05/1973,Cries and Whispers,"In 1890s Sweden, when a woman dying of cancer is visited by her two sisters, hidden thoughts rise. Unlike them, her maid Anna dutifully cares for her.",Ingmar Bergman,"Harriet Andersson,
Kari Sylwan,
Ingrid Thulin",N/A,
03/07/1973,The Long Goodbye,A private investigator helps out a friend who may have killed his wife by driving him to a border. He is hired by a woman to locate a missing husband.,Robert Altman,"Elliott Gould,
Nina van Pallandt,
Sterling Hayden",John Williams,
03/16/1973,The Crazies,"In Evans City, troops try to contain a combat virus that brings death and permanent insanity. A team with two firefiighters try to leave but are unable to.",George A. Romero,"Lane Carroll,
W.G. McMillan,
Harold Wayne Jones",Bruce Roberts,
04/07/1973,High Plains Drifter,A ghostly gunfighter comes to Lago and is hired to gather the townsfolk together to hold off three recently outlaws. He has them paint the town red.,Clint Eastwood,"Clint Eastwood,
Verna Bloom,
Mariana Hill",Dee Barton,
04/11/1973,Scarecrow,An ex-con drifter with a penchant for brawling is amused by a homeless ex-sailor. They partner up to plan to start a car wash business in Pittsburgh.,Jerry Schatzberg,"Gene Hackman,
Al Pacino,
Eileen Brennan",Fred Myrow,
04/19/1973,Soylent Green,"In 2022 New York, detective Frank looks into the murder of the president of the Soylent company, which produces produces the world's food supply.",Richard Fleischer,"Charlton Heston,
Leigh Taylor-Young,
Chuck Connors",Fred Myrow,
05/09/1973,Paper Moon,"In 1930s Kansas, a con man is saddled with a 9-year-old girl who may be his daughter. The two forge an unlikely partnership scamming others.",Peter Bogdanovich,"Ryan O'Neal,
Tatum O'Neal,
Madeline Kahn",N/A,
05/11/1973,Coffy,"Nurse Coffin seeks revenge on those responsible for her younger sister Lubelle's heroin addiction. With the guise of a prostitute, she lures then kills.",Jack Hill,"Pam Grier,
Booker Bradshaw,
Robert DoQui",Roy Ayers,
06/15/1973,Battle for the Planet of the Apes,"10 years after ape revolutions and a nuclear war among humans, Caesar protects survivors of both species from an evil human cult and militant apes.",J. Lee Thompson,"Roddy McDowall,
Claude Akins,
Natalie Trundy",Leonard Rosenman,Planet of the Apes 5
06/20/1973,A Touch of Class,"A married American man living in London meets an English divorcée. The two run off to Spain, but he returns home, still loving his wife and children.",Melvin Frank,"George Segal,
Glenda Jackson,
Paul Sorvino",John Cameron,
06/20/1973,Shaft in Africa,Private investigator John Shaft goes undercover to break up a modern slavery ring where young Africans are lured to Paris to do chain gang work.,John Guillermin,"Richard Roundtree,
Frank Finlay,
Neda Arnerić",Johnny Pate,Shaft 3
06/20/1973,Showdown,A bank robber and a lawman who have been friends since childhood go in opposite directions after one marries the other's former sweetheart.,George Seaton,"Rock Hudson,
Dean Martin,
Susan Clark",David Shire,
06/27/1973,Live and Let Die,"Investigating three agent murders, Bond evades assassins as he searches for heroin magnate Dr. Kananga. He meets magic tarot reader Solitaire.",Guy Hamilton,"Roger Moore,
Yaphet Kotto,
Jane Seymour",George Martin,James Bond 8
07/11/1973,Cahill U.S. Marshal,"While a widower and U.S. Marshal is away from home, both of his sons aid a gang escaping from jail and robbing a bank. A hunt leads to shooting.",Andrew V. McLaglen,"John Wayne,
Gary Grimes,
Neville Brand",Elmer Bernstein,
07/13/1973,Cleopatra Jones,"A U.S. Special Agent is assigned to combat drug trafficking. After she burns a Turkish poppy field, the evil drug lord Mommy angrily causes trouble.",Jack Starrett,"Tamara Dobson,
Shelley Winters,
Bernie Casey",J. J. Johnson,
08/11/1973,American Graffiti,"In 1962, four high school grads cruise the streets of Modesto, California and deal with dilemmas while a disc jockey spins rock and roll tunes.",George Lucas,"Richard Dreyfuss,
Ronny Howard,
Paul Le Mat",N/A,
08/15/1973,Jesus Christ Superstar,"A crew travel by bus to the Israeli desert to enact the Passion of Christ: the final six days of Jesus' life, Judas' betrayal, and the Romans' suspicions.",Norman Jewison,"Ted Neeley,
Carl Anderson,
Yvonne Elliman",Andrew Lloyd Webber,
08/19/1973,Enter the Dragon,"A secret agent comes as a spy to a reclusive opium lord's island fortress, using a martial arts tournament with other fighters as a cover.",Robert Clouse,"Bruce Lee,
John Saxon,
Ahna Capri",Lalo Schifrin,
09/07/1973,Day for Night,"In France, a committed film director struggles to complete his movie as he deals with some crises, personal and professional, among the crew staff.",François Truffaut,"Jacqueline Bisset,
Valentina Cortese,
Dani",Georges Delerue,
10/12/1973,Count Dracula,"A gaunt vampire who regains his youth by dining on the fresh maiden blood is pursued in London and Transylvania by Helsing, Harker, and Morris.",Jesús Franco,"Christopher Lee,
Herbert Lom,
Klaus Kinski",Bruno Nicolai,
10/14/1973,Mean Streets,"In New York's Little Italy, a devoutly Catholic man who works for the Mafia works to maintain peace between his vagrant gambler friend and creditors.",Martin Scorsese,"Harvey Keitel,
Robert De Niro,
David Proval",N/A,
10/19/1973,The Way We Were,"A stridently vocal Marxist Jew and a carefree man with no particular political bent have a wonderful romance, but their convictions drive them apart.",Sydney Pollack,"Barbra Streisand,
Robert Redford,
Bradford Dillman",Marvin Hamlisch,
11/08/1973,Robin Hood,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham’s citizens with support from the corrupt sheriff – and staunch opposition by the wily Robin Hood and his band of merry men.",Wolfgang Reitherman,"Peter Ustinov,
Phil Harris,
Brian Bedford",George Bruns,
11/16/1973,Breezy,"After taking a ride with a man who wants her only for sex, a teenage hippie runs and escapes to the home of divorced Frank, who falls in love with her.",Clint Eastwood,"William Holden,
Kay Lenz,
Roger C. Carmel",Michel Legrand,
11/21/1973,Westworld,"A robot malfunction creates havoc and terror for unsuspecting vacationers at a futuristic, adult-themed amusement park.",Michael Crichton,"Yul Brynner,
Richard Benjamin,
James Brolin",Fred Karlin,
12/05/1973,Serpico,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,"Al Pacino,
John Randolph,
Jack Kehoe",Mikis Theodorakis,
12/12/1973,The Last Detail,"Two Navy lifers are told to escort an 18-year-old offender to a Maine prison but decide to show him good times on trains, at a diner, and in a brothel.",Hal Ashby,"Jack Nicholson,
Otis Young,
Randy Quaid",Johnny Mandel,
12/25/1973,Magnum Force,"Dirty Harry is on the trail of vigilante police death squad who are go beyond the law to kill criminals. They give an offer for him to join, but he refuses.",Ted Post,"Clint Eastwood,
Hal Holbrook,
Mitchell Ryan",Lalo Schifrin,Dirty Harry 2
12/25/1973,The Sting,"In 1936, an ambitious small-time crook and a veteran con man team up to get revenge on an evil crime lord who murdered one of their gang.",George Roy Hill,"Paul Newman,
Robert Redford,
Robert Shaw",Marvin Hamlisch,
12/26/1973,The Exorcist,"When 12-year-old Regan is possessed by demon Pazuzu, her mother Chris tries to rescue her with help from two Catholic priests: Merrin and Karras.",William Friedkin,"Ellen Burstyn,
Jason Miller,
Linda Blair",Jack Nitzsche,
01/28/1974,Black Belt Jones,The Mafia buyout of Papa Byrd's karate school ends in his death. Byrd's daughter and students call an expert martial artist for help.,Robert Clouse,"Jim Kelly,
Gloria Hendry,
Scatman Crothers",Luchi DeJesus,
02/06/1974,Zardoz,"In 2293, humans are either immortal Eternals or barbaric Brutals. Exterminator Zed refuses to stay oppressed and investigates genetic engineering.",John Boorman,"Sean Connery,
Charlotte Rampling,
Sara Kestelman",David Munrow,
02/07/1974,Blazing Saddles,"In 1874, railroad worker Bart becomes the first black sheriff of Rock Ridge. He and the alcoholic Waco Kid try to overcome its citizens' hostility.",Mel Brooks,"Cleavon Little,
Gene Wilder,
Slim Pickens","John Morris,
Mel Brooks",
03/24/1974,Badlands,"In 1959, an impressionable 15-year-old girl from a dead-end town and her older greaser boyfriend embark on a killing spree in South Dakota.",Terrence Malick,"Martin Sheen,
Sissy Spacek,
Ramon Bieri",George Tipton,
03/29/1974,The Great Gatsby,"In 1920s Long Island, a Midwest man becomes fascinated with his rich neighbor who obsesses over his love, now married to a bullheaded man.",Jack Clayton,"Robert Redford,
Mia Farrow,
Bruce Dern",Nelson Riddle,
03/31/1974,The Sugarland Express,"In Texas, Lou Jean helps her husband escape prison, and they try to retrieve their son. They are forced to take a policeman hostage on the road.",Steven Spielberg,"Goldie Hawn,
Ben Johnson,
William Atherton",John Williams,
04/07/1974,The Conversation,"In San Francisco, a paranoid surveillance expert has a crisis of conscience when he suspects that a couple he is spying on will be killed by a client.",Francis Ford Coppola,"Gene Hackman,
John Cazale,
Allen Garfield",David Shire,
05/15/1974,The Wicker Man,A Christian Police Sergeant arrives in Summerisle in search of a missing girl whom locals say never existed. They all worship Celtic gods at a harvest.,Robin Hardy,"Edward Woodward,
Christopher Lee,
Britt Ekland",Paul Giovanni,
05/24/1974,Thunderbolt and Lightfoot,"With the help of a young sidekick, a bank robber famous for his cannon reunites his old gang to set up a heist of a Montana bank they robbed before.",Michael Cimino,"Clint Eastwood,
Jeff Bridges,
George Kennedy",Dee Barton,
06/06/1974,Herbie Rides Again,"An elderly widow refuses to sell a firehouse to a property developer.  He resorts to chicanery, but his plans are thwarted by a Volkswagen Beetle.",Robert Stevenson,"Helen Hayes,
Ken Berry,
Stefanie Powers",George Bruns,Herbie 2
06/20/1974,Chinatown,"In 1937 Los Angeles, a private detective hired to expose an adulterer finds himself caught up in lies, corruption, and murder over water resources.",Roman Polanski,"Jack Nicholson,
Faye Dunaway,
John Hillerman",Jerry Goldsmith,
07/24/1974,Death Wish,A middle-aged Manhattan architect becomes a one-man vigilante squad at night after his wife is killed and his daughter is raped by street punks.,Michael Winner,"Charles Bronson,
Hope Lange,
Vincent Gardenia",Herbie Hancock,
08/21/1974,The Longest Yard,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to face and lose to the guards.",Robert Aldrich,"Burt Reynolds,
Eddie Albert,
Ed Lauter",Frank De Vol,
10/02/1974,The Taking of Pelham One Two Three,"In New York, four armed men hijack a subway car and demand a ransom for passengers. A transit police lieutenant negotiates with them over radio.",Joseph Sargent,"Walter Matthau,
Robert Shaw,
Martin Balsam",David Shire,
10/11/1974,The Texas Chain Saw Massacre,"In Texas, Sally, her paraplegic brother, and two of their friends visiting a grave help a hitchhiker and then fall victim to a psychopathic cannibal family.",Tobe Hooper,"Marilyn Burns,
Paul A. Partain,
Edwin Neal","Tobe Hooper,
Wayne Bell",
