Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
01/25/1970,M*A*S*H,"In 1951, a Korean War field hospital is assigned two new surgeons who create havoc with martini parties and jokes while war rages around them.",Robert Altman,"Donald Sutherland,
Elliott Gould,
Tom Skerritt",Johnny Mandel,
02/04/1970,Patton,"In 1943, a fiery World War II tank commander’s career begins in Africa and continues with the invasion of Germany and the Third Reich's fall.",Franklin J. Schaffner,"George C. Scott,
Karl Malden,
Michael Bates",Jerry Goldsmith,
03/05/1970,Airport,"In Chicago, an airline manager struggles to keep it open during a snowstorm. An ill suicide bomber plans to blow up a Boeing 707 airliner for money.",George Seaton,"Burt Lancaster,
Dean Martin,
Jean Seberg",Alfred Newman,
03/25/1970,Women in Love,"In 1920 England, in a mining town, two male best friends fall in love with a pair of sisters, but the relationships soon go in very different directions.",Ken Russell,"Alan Bates,
Oliver Reed,
Glenda Jackson","Georges Delerue,
Michael Garrett",
05/01/1970,One More Time,"Two nightclub owners are soon in trouble with the law. One goes to his English lord brother for help. After the lord is murdered, he pretends to be him.",Jerry Lewis,"Sammy Davis Jr.,
Peter Lawford,
Maggie Wright",Les Reed,Salt and Pepper 2
05/26/1970,Beneath the Planet of the Apes,A man sent to find missing astronauts finds a world of talking apes and an underground cult of telepathic humans who survived a nuclear blast.,Ted Post,"James Franciscus,
Kim Hunter,
Maurice Evans",Leonard Rosenman,Planet of the Apes 2
06/07/1970,Taste the Blood of Dracula,Three English gentlemen resurrect Dracula and murder his disciple. The Count seeks vengeance by having them die at the hands of their children.,Peter Sasdy,"Christopher Lee,
Linda Hayden,
Geoffrey Keen",James Bernard,Hammer Dracula 5
06/16/1970,Two Mules for Sister Sara,"In Mexico, nun Sara is on the run and is saved by Hogan, who is preparing for a mission to capture a French fort. They become friends with secrets.",Don Siegel,"Clint Eastwood,
Shirley MacLaine,
Manolo Fábregas",Ennio Morricone,
06/23/1970,Kelly's Heroes,"In 1944 France, a group of U.S. soldiers sneak across enemy lines for a secret stash of Nazi gold bars stored in a bank vault but run into Germans.",Brian G. Hutton,"Clint Eastwood,
Telly Savalas,
Don Rickles",Lalo Schifrin,
06/24/1970,Catch-22,"During World War II, an Army bombardier tries to be certified insane so he can stop flying, but when airmen refuse to fly more, they are deemed sane.",Mike Nichols,"Alan Arkin,
Martin Balsam,
Richard Benjamin",Richard Strauss,
07/29/1970,Chisum,"In Lincoln County, New Mexico, kind cattle baron and town founder John Chisum joins forces with Billy the Kid and Pat Garrett to fight a land war.",Andrew V. McLaglen,"John Wayne,
Forrest Tucker,
Ben Johnson",Dominic Frontiere,
09/12/1970,Five Easy Pieces,"In California, an upper-class dropout pianist picks up work on oil rigs when his life is not spent in bars and motels. He goes to see his dying father.",Bob Rafelson,"Jack Nicholson,
Karen Black,
Susan Anspach",N/A,
10/16/1970,The Great White Hope,"In the 1910s, black champion boxer Jack and his white female companion struggle to survive while the white boxing establishment try to hinder them.",Martin Ritt,"James Earl Jones,
Jane Alexander,
Chester Morris",Lionel Newman,
10/28/1970,The Twelve Chairs,"In 1927 Russia, a fallen aristocrat, a priest, and a con artist search for a treasure of jewels hidden inside one of a set of twelve lost dining chairs.",Mel Brooks,"Frank Langella,
Ron Moody,
Dom DeLuise",John Morris,
11/18/1970,Dirty Dingus Magee,"Dingus and his old rival Hoke Birdsill take turns at being either lawman or outlaw and being rivals or partners in crime, depending on their motivations.",Burt Kennedy,"Frank Sinatra,
George Kennedy,
Anne Jackson",Jeff Alexander,
12/16/1970,Love Story,"A Harvard Law student and a music student fall in love. They marry, but the man's wealthy father threatens to disown him, and then tragedy strikes.",Arthur Hiller,"Ali MacGraw,
Ryan O'Neal,
John Marley",Francis Lai,
12/23/1970,Little Big Man,"Jack Crabb, looking back from 121 years old, tells of his life raised by Native Americans, fighting with General Custer, and surviving a large battle.",Arthur Penn,"Dustin Hoffman,
Faye Dunaway,
Chief Dan George",John Hammond,
12/23/1970,Scars of Dracula,A young man spends the night at Count Dracula's castle but is murdered. His brother Simon comes to the small town where all traces end to find him.,Roy Ward Baker,"Christopher Lee,
Patrick Troughton,
Dennis Waterman",James Bernard,Hammer Dracula 6
12/24/1970,The Aristocats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",Wolfgang Reitherman,"Phil Harris,
Eva Gabor,
Hermione Baddeley",George Bruns,
03/11/1971,THX 1138,"In the 25th century, man THX 1138, and woman LUH 3417 rebel against their rigid society by starting a relationship and breaking routines.",George Lucas,"Robert Duvall,
Donald Pleasence,
Don Pedro Colley",Lalo Schifrin,
03/18/1971,Get Carter,"When his brother dies under mysterious circumstances in a car accident, London gangster Jack Carter travels to Newcastle to investigate.",Mike Hodges,"Michael Caine,
Ian Hendry,
John Osborne",Roy Budd,
03/31/1971,The Beguiled,"In 1863 Mississippi, girls school residents treat a wounded Union corporal. He fascinates the staff and students, leading to jealousy and vengeance.",Don Siegel,"Clint Eastwood,
Geraldine Page,
Elizabeth Hartman",Lalo Schifrin,
05/01/1971,Billy Jack,A half-Navajo Green Beret veteran and hapkido expert saves wild horses from being slaughtered and defends the hippie-themed Freedom School.,Tom Laughlin,"Tom Laughlin,
Delores Taylor,
David Roya","Mundell Lowe,
Dennis Lambert,
Brian Potter",
05/18/1971,The Abominable Dr. Phibes,A disfigured organist seeks vengeance on doctors he blames for his wife's death. He murders them taking inspiration from the Ten Plagues of Egypt.,Robert Fuest,"Vincent Price,
Joseph Cotten,
Peter Jeffrey",Basil Kirchin,
05/21/1971,Escape from the Planet of the Apes,"Three talking chimpanzees arrive mysteriously in a U.S. spacecraft. They celebrities, but one man believes them to be a threat to the human race.",Don Taylor,"Roddy McDowall,
Kim Hunter,
Bradford Dillman",Jerry Goldsmith,Planet of the Apes 3
05/26/1971,Big Jake,"In 1909, when the Fain Gang attacks three ranch brothers and kidnaps the son of one of them to hold for ransom, their father sets out to save him.",George Sherman,"John Wayne,
Richard Boone,
Maureen O'Hara",Elmer Bernstein,
06/13/1971,"Drive, He Said",A college basketball star player goes off the rails with a love affair with a professor's wife and his roommate going crazy to avoid the Vietnam draft.,Jack Nicholson,"William Tepper,
Karen Black,
Michael Margotta",David Shire,
06/17/1971,The Anderson Tapes,"After Duke is released from prison after 10 years for taking the rap for a scion of a Mafia family, he cashes in a debt with the mob to bankroll a caper.",Sidney Lumet,"Sean Connery,
Dyan Cannon,
Martin Balsam",Quincy Jones,
06/25/1971,Klute,A small-town detective searching for a missing man has one lead: a letter written to a New York prostitute whose phone he taps before meeting.,Alan J. Pakula,"Jane Fonda,
Donald Sutherland,
Charles Cioffi",Michael Small,
06/25/1971,Shaft,Cool black private detective John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.,Gordon Parks,"Richard Roundtree,
Moses Gunn,
Charles Cioffi","Isaac Hayes,
Johnny Allen",
06/30/1971,Willy Wonka & the Chocolate Factory,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Mel Stuart,"Gene Wilder,
Jack Albertson,
Peter Ostrum","Leslie Bricusse,
Anthony Newley,
Walter Scharf",
10/07/1971,The French Connection,"NYPD detectives Popeye and Cloudy track down French drug dealer Charnier, who transfers heroin by stashing it in the car of a television personality.",William Friedkin,"Gene Hackman,
Fernando Rey,
Roy Scheider",Don Ellis,
10/20/1971,Play Misty for Me,"In Carmel-by-the-Sea, radio DJ Dave has a short fling with obsessed fan Evelyn. He rejects her and reunites with an ex-girlfriend, so she targets them.",Clint Eastwood,"Clint Eastwood,
Jessica Walter,
Donna Mills",Dee Barton,
10/22/1971,The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,"Timothy Bottoms,
Jeff Bridges,
Cybill Shepherd",N/A,
11/03/1971,Fiddler on the Roof,"In 1905 Imperial Russia, Jewish milkman Tevye marries off three of his daughters while growing anti-Semitic sentiment threatens his small village.",Norman Jewison,"Topol,
Norma Crane,
Leonard Frey","Jerry Bock,
John Williams",
11/11/1971,Bedknobs and Broomsticks,"An apprentice witch, three kids and a magician con man search for the missing component to a magic spell for defending Britain in World War II.",Robert Stevenson,"Angela Lansbury,
David Tomlinson,
Ian Weighill",Irwin Kostal,
12/17/1971,Diamonds Are Forever,"Bond infiltrates Las Vegas diamond smuggling to foil Blofeld's plot to target Washington, D.C. with a laser in space. Smuggler Tiffany captivates him.",Guy Hamilton,"Sean Connery,
Jill St. John,
Charles Gray",John Barry,James Bond 7
12/19/1971,A Clockwork Orange,"In future England, a sadistic gang leader is jailed for murder. He volunteers for a conduct aversion experiment and is conditioned to abhor violence.",Stanley Kubrick,"Malcolm McDowell,
Patrick Magee,
Adrienne Corri",Wendy Carlos,
12/22/1971,Straw Dogs,American mathematician David and his Cornish wife Amy come to rural England and face vicious local harassment mostly from Amy's ex-boyfriend.,Sam Peckinpah,"Dustin Hoffman,
Susan George,
Peter Vaughan",Jerry Fielding,
12/23/1971,Dirty Harry,"When the psychopathic sniper Scorpio demands a ransom, tough SFPD inspector Harry Callahan and rookie partner Chico are assigned to find him.",Don Siegel,"Clint Eastwood,
Andy Robinson,
Harry Guardino",Lalo Schifrin,
01/01/1972,Limelight,"In 1914 London, former stage clown Calvero is a washed-up drunk. He saves dancer Terry from a suicide try. He helps her blossom but fails himself.",Charlie Chaplin,"Charlie Chaplin,
Claire Bloom,
Sydney Chaplin",Charlie Chaplin,
01/13/1972,The Cowboys,Rancher Wil is forced to hire inexperienced boys as cowhands to get his herd to market on time but the drive is full of danger and mean cattle rustlers.,Mark Rydell,"John Wayne,
Roscoe Lee Browne,
Bruce Dern",John Williams,
