Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
02/01/1980,The Fog,"In 1880, Antonio Bay's six founders sink a ship to prevent a leper colony forming. 100 years later, a glowing cloud brings vengeful ghosts of mariners.",John Carpenter,"Adrienne Barbeau,
Jamie Lee Curtis,
John Houseman",John Carpenter,
02/08/1980,Hero at Large,"In New York, actor Steve stops a robbery while he is wearing a Captain Avenger uniform, promoting a movie. The unknown hero decides to try again.",Martin Davidson,"John Ritter,
Anne Archer,
Bert Convy",Patrick Williams,
02/29/1980,Foxes,"In Los Angeles, four teenage girls, a disco queen, a virgin, a runaway, and one who cares for the rest, immerse themselves in partying decadence.",Adrian Lyne,"Jodie Foster,
Scott Baio,
Cherie Currie",Giorgio Moroder,
03/07/1980,Coal Miner's Daughter,"Loretta Lynn, a dirt-poor Appalachian Mountains girl, rises from humble beginnings to become a queen of country music.",Michael Apted,"Sissy Spacek,
Tommy Lee Jones,
Beverly D'Angelo",Owen Bradley,
03/21/1980,Mad Max,"In future Australia, a highway patrolman searches for the Nightrider's gang after they hunt down and murder his wife and infant son while on vacation.",George Miller,"Mel Gibson,
Joanne Samuel,
Hugh Keays-Byrne",Brian May,
03/28/1980,The Changeling,"After his wife and his daughter die in a car crash, a music professor staying at a Seattle mansion is dragged into a 70-year-old mystery of a dead boy.",Peter Medak,"George C. Scott,
Trish Van Devere,
Melvyn Douglas",Rick Wilkins,
04/25/1980,Where the Buffalo Roam,"Dr. Hunter S. Thompson earns his reputation for gonzo journalism while adventuring with his attorney Carl Lazlo, Esq.",Art Linson,"Bill Murray,
Peter Boyle,
Bruno Kirby",Neil Young,
05/09/1980,Friday the 13th,"In Camp Crystal Lake, counselors are stalked and murdered by an assailant while trying to reopen a summer camp where boy Jason drowned in 1959.",Sean S. Cunningham,"Betsy Palmer,
Adrienne King,
Harry Crosby",Harry Manfredini,
05/21/1980,The Empire Strikes Back,"After the Rebels are overpowered by the Empire on Hoth, Luke begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",Irvin Kershner,"Mark Hamill,
Harrison Ford,
Carrie Fisher",John Williams,Star Wars 5
05/23/1980,The Shining,"The Torrances stay in the Overlook Hotel, where a presence goads Jack into violence. His psychic son Danny sees visions from the past and future.",Stanley Kubrick,"Jack Nicholson,
Shelley Duvall,
Danny Lloyd","Wendy Carlos,
Rachel Elkind",
06/11/1980,Bronco Billy,"Balloon shooter Billy is the leader of a struggling travelling circus. He befriends Antoinette, who is set to marry for a big fortune. She joins his show.",Clint Eastwood,"Clint Eastwood,
Sondra Locke,
Geoffrey Lewis",Snuff Garrett,
06/20/1980,The Blue Lagoon,"Two young cousins are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together.",Randal Kleiser,"Brooke Shields,
Christopher Atkins,
Leo McKern",Basil Poledouris,
06/20/1980,The Blues Brothers,"After his prison stay, Jake reunites with Elwood, his brother, to save the Catholic orphanage they grew up in. They get their old band back together.",John Landis,"John Belushi,
Dan Aykroyd,
James Brown",N/A,
06/27/1980,The Stunt Man,A fleeing Vietnam veteran runs into a movie set led by a strange director in need of stunt doubles. He takes the job and falls for the leading actress.,Richard Rush,"Peter O'Toole,
Steve Railsback,
Barbara Hershey",Dominic Frontiere,
07/02/1980,Airplane!,Alcoholic ex-pilot Ted Striker fears flying due to wartime trauma but boards a flight to win back his attendant girlfriend. The crew falls ill from a meal.,"Jim Abrahams,
David Zucker,
Jerry Zucker","Robert Hays,
Julie Hagerty,
Leslie Nielsen",Elmer Bernstein,
07/11/1980,Used Cars,"When a struggling used car lot owner is killed, his salesman Rudy must save the lot from falling into the owner's brother while he assists his daughter.",Robert Zemeckis,"Kurt Russell,
Gerrit Graham,
Frank McRae",Patrick Williams,
07/18/1980,Prom Night,A killer in a ski mask stalks at a senior prom four teenagers who caused Robin's death falling from a window six years ago but hid their involvement.,Paul Lynch,"Leslie Nielsen,
Jamie Lee Curtis,
Casey Stevens","Paul Zaza,
Carl Zittrer",
07/18/1980,The Big Red One,"During World War II, a hardened sergeant and the four core members of his infantry unit move from battle to battle through Europe and try to survive.",Samuel Fuller,"Lee Marvin,
Mark Hamill,
Robert Carradine",Dana Kaproff,
07/18/1980,Zombi 2,Strangers looking for a missing boat owner arrive at an island where a doctor and his wife seek the cause and cure of a new epidemic of the undead.,Lucio Fulci,"Tisa Farrow,
Ian McCulloch,
Richard Johnson","Fabio Frizzi,
Giorgio Tucci",
07/25/1980,Caddyshack,Danny caddies for Ty at Bushwood Country Club. Groundskeeper Carl hunts down a gopher. Newly rich Al bothers then competes with Judge Smails.,Harold Ramis,"Chevy Chase,
Rodney Dangerfield,
Ted Knight",Johnny Mandel,
08/08/1980,Xanadu,A Greek muse in the disguise of a roller skater befriends an artist and a former orchestra leader. The three establish a nightclub in an auditorium.,Robert Greenwald,"Olivia Newton-John,
Gene Kelly,
Michael Beck",Barry De Vorzon,
08/15/1980,Smokey and the Bandit II,The Bandit goes on another cross-country run to move an elephant from Florida to Texas. Sheriff Buford T. Justice and his two brothers follow him.,Hal Needham,"Burt Reynolds,
Jackie Gleason,
Jerry Reed",Snuff Garrett,
09/19/1980,Ordinary People,"In Chicago, after the death of his older brother in a sailing accident, Conrad sees a psychiatrist who supports his emotions as he confronts his mother.",Robert Redford,"Donald Sutherland,
Mary Tyler Moore,
Judd Hirsch",Marvin Hamlisch,
10/03/1980,"Oh, God! Book II","God asks 11-year-old girl Tracy to help spread his influence with a slogan. She creates ""Think God"" and asks her friends to help spread the message.",Gilbert Cates,"George Burns,
Suzanne Pleshette,
David Birney",Charles Fox,
10/03/1980,Somewhere in Time,A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,Jeannot Szwarc,"Christopher Reeve,
Jane Seymour,
Christopher Plummer",John Barry,
10/03/1980,Terror Train,"Three years after a prank went terribly wrong, six college students are targeted by a masked killer at a New Year's Eve party aboard a moving train.",Roger Spottiswoode,"Ben Johnson,
Jamie Lee Curtis,
Hart Bochner",John Mills-Cockell,
10/03/1980,The Elephant Man,A Victorian surgeon rescues a heavily disfigured man mistreated while working as a sideshow freak. Behind his façade is a person of kindness.,David Lynch,"Anthony Hopkins,
John Hurt,
Anne Bancroft",John Morris,
10/10/1980,Kagemusha,"A petty thief who resembles a samurai warlord is hired as the lord's double. When the warlord dies, the thief is forced to take up arms in his place.",Akira Kurosawa,"Tatsuya Nakadai,
Tsutomu Yamazaki,
Kenichi Hagiwara",Shin'ichirō Ikebe,
11/14/1980,Raging Bull,"Jake LaMotta is an Italian-American middleweight boxer whose rage, sexual jealousy, and appetite destroy his relationship with his wife and family.",Martin Scorsese,"Robert De Niro,
Cathy Moriarty,
Joe Pesci",N/A,
12/05/1980,Flash Gordon,A New York Jets quarterback and two allies travel to the planet Mongo and unite warring factions against the evil Ming the Merciless to save Earth.,Mike Hodges,"Sam J. Jones,
Melody Anderson,
Ornella Muti","Queen,
Howard Blake",
12/12/1980,Popeye,A brawny sailor searching for his father arrives at Sweethaven and rooms at the Oyl family boarding home. He meets Olive and fights her fiancé Bluto.,Robert Altman,"Robin Williams,
Shelley Duvall,
Paul L. Smith",Harry Nilsson,
12/12/1980,Stir Crazy,"Two poor, unemployed friends are given 125-year prison sentences after being framed for a bank robbery. They befriend inmates and plan escape.",Sidney Poitier,"Gene Wilder,
Richard Pryor,
Georg Stanford Brown",Tom Scott,
12/17/1980,Any Which Way You Can,"Philo decides to retire from brawling when he has started to enjoy the pain. After facing bikers, he is forced to fight a man that mixes boxing with MMA.",Buddy Van Horn,"Clint Eastwood,
Sondra Locke,
Geoffrey Lewis",N/A,Every Which Way but Loose 2
12/19/1980,9 to 5,Three female employees of a sexist bigot live out their fantasies of kidnapping him and taking over the company from him with workplace changes.,Colin Higgins,"Jane Fonda,
Lily Tomlin,
Dolly Parton",Charles Fox,
12/19/1980,Inside Moves,"In Oakland, Roary is crippled after he attempts a suicide. He grows close with disabled people at a bar like Jerry, who joins the NBA's Warriors team.",Richard Donner,"John Savage,
David Morse,
Diana Scarwid",John Barry,
12/19/1980,The Jazz Singer,The songwriter son of a Jewish cantor defies the traditions of his religious father and his own wife to pursue his dream of becoming a known singer.,Richard Fleischer,"Neil Diamond,
Laurence Olivier,
Lucie Arnaz",Leonard Rosenman,
12/25/1980,Altered States,"Psychopathologist Edward, who experiments with drugs and a sensory deprivation tank, has genetic visions and transforms following a tribe ceremony.",Ken Russell,"William Hurt,
Blair Brown,
Bob Balaban",John Corigliano,
01/14/1981,Scanners,"ConSec, a purveyor of weaponry, finds telepaths like Cameron Vale to dispatch to stop Revok, who plans to rule the world by distributing ephemerol.",David Cronenberg,"Stephen Lack,
Jennifer O'Neill,
Patrick McGoohan",Howard Shore,
01/30/1981,Maniac,"In New York City, psychotic Frank Zito, abused as a child by his prostitute mother, murders women and takes scalps as trophies for his mannequins.",William Lustig,"Joe Spinell,
Caroline Munro,
Gail Lawrence",Jay Chattaway,
02/11/1981,My Bloody Valentine,A story of a murderer killing those who celebrate Valentine's Day turns out to be true when a group defies the order and people start dying in a mine.,George Mihalka,"Paul Kelman,
Lori Hallier,
Neil Affleck",Paul Zaza,
02/13/1981,Eyewitness,A New York janitor who claims he witnessed a murder in his office building becomes romantically involved with the TV reporter covering the story.,Peter Yates,"William Hurt,
Sigourney Weaver,
Christopher Plummer",Stanley Silverman,
02/27/1981,Roadgames,"A laid-back truck driver travelling across Australia, with the help of a hitchhiker, tracks down a serial killer butchering women and dumping the bodies.",Richard Franklin,"Stacy Keach,
Jamie Lee Curtis,
Marion Edwards",Brian May,
03/13/1981,The Howling,"In L.A., after a bizarre and near deadly encounter with a serial killer, TV news anchor Karen is sent to the Colony, a mountain resort with werewolves.",Joe Dante,"Dee Wallace,
Patrick Macnee,
Dennis Dugan",Pino Donaggio,
03/20/1981,Omen III: The Final Conflict,"32-year-old CEO Damien Thorn, the Antichrist, is appointed as an ambassador. He attempts to halt the Second Coming of Christ. A priest faces him.",Graham Baker,"Sam Neill,
Rossano Brazzi,
Don Gordon",Jerry Goldsmith,
03/27/1981,Thief,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself.",Michael Mann,"James Caan,
Tuesday Weld,
Robert Prosky",Tangerine Dream,
04/10/1981,Excalibur,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart.",John Boorman,"Nigel Terry,
Helen Mirren,
Nicholas Clay",Trevor Jones,
04/10/1981,Nighthawks,"When a lethal top European terrorist Wulgar visits New York with a bombing, an elite undercover cop is assigned to take him down by any means.",Bruce Malmuth,"Sylvester Stallone,
Billy Dee Williams,
Lindsay Wagner",Keith Emerson,
04/24/1981,Heaven's Gate,"In 1890 Wyoming, marshal Averill gives his best to save European immigrant farmers from wealthy cattle barons in a violent team headed by Canton.",Michael Cimino,"Kris Kristofferson,
Christopher Walken,
John Hurt",David Mansfield,
04/24/1981,The Hand,"Comic book artist Jon loses his right hand in a car accident. The appendage returns alive, following him around and murdering those who anger him.",Oliver Stone,"Michael Caine,
Andrea Marcovicci,
Annie McEnroe",James Horner,
04/30/1981,Friday the 13th Part 2,"Paul and assistant Ginny train camp counselors next to Crystal Lake. They are attacked by Jason Voorhees, taking revenge for his mother's death.",Steve Miner,"Adrienne King,
Amy Steel,
John Furey",Harry Manfredini,
05/22/1981,The Legend of the Lone Ranger,The sole surviving Texas Ranger of an ambush arranged by outlaw leader Butch returns to fight back as a ranger with a Comanche Indian's help.,William A. Fraker,"Klinton Spilsbury,
Michael Horse,
Christopher Lloyd",John Barry,
06/12/1981,Clash of the Titans,"To win the right to marry the princess Andromeda, Perseus must tame Pegasus, capture Medusa’s head, and battle the Kraken monster.",Desmond Davis,"Harry Hamlin,
Laurence Olivier,
Judi Bowker",Laurence Rosenthal,
06/12/1981,"History of the World, Part I","A ridiculous version of human history parodies the periods of the Stone Age, the Roman Empire, the Spanish Inquisition, and the French Revolution.",Mel Brooks,"Mel Brooks,
Dom DeLuise,
Madeline Kahn",John Morris,
06/12/1981,Raiders of the Lost Ark,"In 1936, an archaeologist and adventurer is hired by the U.S. government to find the Ark of the Covenant before Nazis can obtain its powers.",Steven Spielberg,"Harrison Ford,
Karen Allen,
Paul Freeman",John Williams,Indiana Jones 1
06/19/1981,Superman II,"Clark sacrifices his powers to begin a relationship with Lois. Kryptonians Zod, Ursa, and Non obtain the White House. Lex schemes to gain Australia.",Richard Lester,"Christopher Reeve,
Gene Hackman,
Ned Beatty",Ken Thorne,
06/19/1981,The Cannonball Run,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. The eccentric entrants resort to low, dirty tricks to win.",Hal Needham,"Burt Reynolds,
Roger Moore,
Farrah Fawcett",Al Capps,
06/26/1981,Dragonslayer,"In Urland, young wizarding apprentice Galen is sent to kill dragon Vermithrax Pejorative, who has been devouring virgin girls selected by a lottery.",Matthew Robbins,"Peter MacNicol,
Caitlin Clarke,
Ralph Richardson",Alex North,
06/26/1981,For Your Eyes Only,Bond looks for a missing British vessel equipped with a weapons encryption device. He works with vengeful Melina and Greek smuggler Columbo.,John Glen,"Roger Moore,
Carole Bouquet,
Topol",Bill Conti,James Bond 12
