Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
06/26/1981,Stripes,"Cab driver John and ESL teacher Russell join the U.S. Army. They train at Fort Arnold with haughty Stillman. In Italy, they save a carrier from Soviets.",Ivan Reitman,"Bill Murray,
Harold Ramis,
Warren Oates",Elmer Bernstein,
06/26/1981,The Great Muppet Caper,"Kermit, Fozzie, and Gonzo are reporters who go to London to interview the fashion designer victim of jewel thieves and help receptionist Miss Piggy.",Jim Henson,"Jim Henson,
Frank Oz,
Dave Goelz",Joe Raposo,
07/10/1981,Escape from New York,"In 1997, when Air Force One is hijacked and hits Manhattan, a maximum security prison, convicted Snake Plissken is sent to find the U.S. President.",John Carpenter,"Kurt Russell,
Lee Van Cleef,
Ernest Borgnine","John Carpenter,
Alan Howarth",
07/10/1981,The Fox and the Hound,"Tod, a red fox adopted by a farmer, and Copper, a puppy trained by a hunter, become close friends. Pressures demand they be adversaries as adults.","Ted Berman,
Richard Rich,
Art Stevens","Mickey Rooney,
Kurt Russell,
Pearl Bailey",Buddy Baker,
07/17/1981,Arthur,"In New York, an alcoholic playboy must marry a woman he does not love to avoid losing his $750 million fortune, but he falls for a poor waitress.",Steve Gordon,"Dudley Moore,
Liza Minnelli,
John Gielgud",Burt Bacharach,
07/17/1981,Endless Love,"In Chicago, teen Dave's love for Jade is thwarted by her father. He burns down her family's house planning to save it but is sent to a mental hospital.",Franco Zeffirelli,"Brooke Shields,
Martin Hewitt,
Shirley Knight",Jonathan Tunick,
07/17/1981,"Zorro, The Gay Blade","Zorro has passed on his mantle to his noble son Diego. After an injury sidelines him, is forced to hand the mask to his gay twin brother Ramón.",Peter Medak,"George Hamilton,
Lauren Hutton,
Ron Leibman",Ian Fraser,
07/24/1981,Blow Out,A movie sound recordist accidentally records the evidence that proves a car accident was actually murder and consequently finds himself in danger.,Brian De Palma,"John Travolta,
Nancy Allen,
John Lithgow",Pino Donaggio,
07/31/1981,Escape to Victory,"As a team of Allied prisoners of war coached by a British captain prepare for a football game against a German team in Paris, officers plan an escape.",John Huston,"Sylvester Stallone,
Michael Caine,
Max von Sydow",Bill Conti,
08/07/1981,Condorman,A comic artist and writer performs a paper swap courier operation for the CIA. He fends off hostile agents and meets a woman who wants to defect.,Charles Jarrott,"Michael Crawford,
Oliver Reed,
Barbara Carrera",Henry Mancini,
08/07/1981,Heavy Metal,"A glowing green orb that embodies ultimate evil terrorizes a young girl with an anthology of bizarre stories of dark fantasy, eroticism, and vile horror.",Gerald Potterton,"Rodger Bumpass,
Jackie Burroughs,
John Candy",Elmer Bernstein,
08/14/1981,Deadly Blessing,"After her husband dies under odd circumstances, widow Martha grows increasingly paranoid of the possibly sinister neighboring religious community.",Wes Craven,"Maren Jensen,
Lisa Hartman,
Sharon Stone",James Horner,
08/21/1981,An American Werewolf in London,"In London, U.S. backpackers David and Jack are attacked by a werewolf that locals refuse to admit exists. Jack dies, but David painfully transforms.",John Landis,"David Naughton,
Jenny Agutter,
Griffin Dunne",Elmer Bernstein,
08/28/1981,Body Heat,"During a Florida heat wave, a woman persuades her lover, an inept lawyer, to murder her wealthy husband. He does so before detonating a bomb.",Lawrence Kasdan,"William Hurt,
Kathleen Turner,
Richard Crenna",John Barry,
09/18/1981,Mommie Dearest,"Joan Crawford takes in two orphans, but after a lawyer breaks up with her and she ioses an MGM contract, she mistreats her daughter Christina.",Frank Perry,"Faye Dunaway,
Diana Scarwid,
Mara Hobel",Henry Mancini,
09/18/1981,The French Lieutenant's Woman,Anna and Mike portray two characters in a period drama set in 19th century England who fall in love despite the fact that Mike's character is engaged.,Karel Reisz,"Meryl Streep,
Jeremy Irons,
David Warner",Carl Davis,
09/25/1981,Carbon Copy,"In San Marino, when a white businessman learns he has an illegitimate black son, things fall apart for him at home, at work, and in his social circles.",Michael Schultz,"George Segal,
Denzel Washington,
Susan Saint James",Bill Conti,
09/25/1981,Chariots of Fire,"Two British track athletes, one a determined Jew, and the other a devout Christian, compete in the 1924 Olympics.",Hugh Hudson,"Ben Cross,
Ian Charleson,
Nigel Havers",Vangelis,
10/09/1981,The Watcher in the Woods,"When an American family moves to an England country home, sisters Jan and Ellie witness weird happenings linked to a long-missing child, Karen.","John Hough,
Vincent McEveety","Bette Davis,
Carroll Baker,
David McCallum",Stanley Myers,
10/11/1981,My Dinner with Andre,"Two old friends meet for dinner. As Andre recalls anecdotes about his theatre director experiences, Wally shares his take on life's ordinary pleasures.",Louis Malle,"Andre Gregory,
Wallace Shawn,
Jean Lenauer",Allen Shawn,
10/30/1981,Halloween II,"While Sheriff Brackett and Dr. Loomis search for Michael Myers, a traumatized Laurie is rushed to hospital, and the serial killer is not far behind her.",Rick Rosenthal,"Jamie Lee Curtis,
Donald Pleasence,
Charles Cyphers","John Carpenter,
Alan Howarth",
11/06/1981,Time Bandits,"11-year-old Kevin accidentally joins a band of six time travelling dwarves as they steal treasures from Napoleon, Robin Hood, and Agamemnon.",Terry Gilliam,"John Cleese,
Sean Connery,
Shelley Duvall","Mike Moran,
George Harrison",
11/20/1981,Ragtime,"In 1900s New York, black pianist Coalhouse aims to marry white Sarah. After she dies, he creates a gang. Chorus girl Evelyn wants to perform again.",Miloš Forman,"Howard Rollins,
James Cagney,
Elizabeth McGovern",Randy Newman,
11/20/1981,They All Laughed,"Two New York detectives are hired to follow two wives suspected of infidelity by their jealous husbands, but they fall in love with the women.",Peter Bogdanovich,"Ben Gazzara,
Audrey Hepburn,
John Ritter",N/A,
12/04/1981,On Golden Pond,A curmudgeon has an estranged relationship with his daughter. He and his wife agree to care for her new boyfriend's 13-year-old son near a lake.,Mark Rydell,"Katharine Hepburn,
Henry Fonda,
Jane Fonda",Dave Grusin,
12/04/1981,Reds,"In 1915, married suffragist Louise encounters the radical journalist John. Inspired by a revolution in Russia, they try to bring Communism to the U.S.",Warren Beatty,"Warren Beatty,
Diane Keaton,
Edward Herrmann","Stephen Sondheim,
Dave Grusin",
12/18/1981,Ghost Story,Two generations of men find themselves haunted by a spectral woman. The men attempt to unravel the story of Eva after some of them die peculiarly.,John Irvin,"Fred Astaire,
Melvyn Douglas,
Douglas Fairbanks Jr.",Philippe Sarde,
12/18/1981,Neighbors,"Earl is a low-key suburbanite with a wife Enid and a teen daughter. His life changes when a young couple, Vic and Ramona Zeck, move in next door. ",John G. Avildsen,"John Belushi,
Dan Aykroyd,
Cathy Moriarty",Bill Conti,
01/15/1982,One from the Heart,"In Las Vegas, couple of five years mechanic Hank and travel agent Frankie break up and proceed to each spend a night with an ideal, exciting partner.",Francis Ford Coppola,"Frederic Forrest,
Teri Garr,
Raul Julia",Tom Waits,
01/22/1982,Shoot the Moon,"A 15-year marriage dissolves, leaving both Faith, her husband, and their four children, devastated. He is preoccupied with a mistress, her with kids.",Alan Parker,"Albert Finney,
Diane Keaton,
Karen Allen",N/A,
02/05/1982,Personal Best,Track-and-field athletes Chris and Tory fall in love before the 1980 Olympics. Coach Tingloff worries that Chris is distracted. She continues to improve.,Robert Towne,"Mariel Hemingway,
Scott Glenn,
Patrice Donnelly","Jill Fraser,
Jack Nitzsche",
02/10/1982,Das Boot,"In 1941, the U-96 U-boat hosts Lt. Werner, a war correspondent covering a young crew's mission in the Atlantic Ocean to find and sink British vessels.",Wolfgang Petersen,"Jürgen Prochnow,
Herbert Grönemeyer,
Klaus Wennemann",Klaus Doldinger,
02/12/1982,Missing,"When an American writer disappears during the Chilean coup d'état in 1973, his wife and father try to find him but have their patriotism tested.",Costa-Gavras,"Jack Lemmon,
Sissy Spacek,
Melanie Mayron",Vangelis,
02/19/1982,Death Wish II,"In Los Angeles, architect Paul Kersey becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper.",Michael Winner,"Charles Bronson,
Jill Ireland,
Vincent Gardenia",Jimmy Page,
02/19/1982,Swamp Thing,A botanist is placed under Alice's protection. An outlaw scientist leads a heist to steal his research that turns him into an enormous plantlike monster.,Wes Craven,"Ray Wise,
Adrienne Barbeau,
Louis Jourdan",Harry Manfredini,
03/19/1982,Porky's,"In 1954 Florida, a group of high school boys try to help their buddy lose his virginity, which leads to fighting a strip club owner and his sheriff brother.",Bob Clark,"Dan Monahan,
Mark Herrier,
Wyatt Knight","Paul Zaza,
Carl Zittrer",
03/19/1982,Victor/Victoria,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",Blake Edwards,"Julie Andrews,
James Garner,
Robert Preston","Henry Mancini,
Leslie Bricusse",
05/14/1982,Conan the Barbarian,"A boy is enslaved after his tribe is destroyed by savage warlord Thulsa Doom, leader of a snake cult. He seeks vengeance as a barbarian warrior.",John Milius,"Arnold Schwarzenegger,
James Earl Jones,
Sandahl Bergman",Basil Poledouris,
05/21/1982,Annie,"When rich Daddy Warbucks wants an orphan to live at his home to promote his image, a girl from mean Miss Hannigan's facility is selected.",John Huston,"Aileen Quinn,
Albert Finney,
Carol Burnett",Ralph Burns,
05/21/1982,Dead Men Don't Wear Plaid,"Convinced that her cheese scientist father was murdered, Juliet hires the private detective Rigby, who finds lists of friends and enemies of Carlotta.",Carl Reiner,"Steve Martin,
Rachel Ward,
Reni Santoni","Miklós Rózsa,
Steve Goodman",
05/21/1982,The Road Warrior,"In future Australia, a cynical drifter agrees to help a peaceful fuel-rich community escape from the masked Humungus and his ruthless marauders.",George Miller,"Mel Gibson,
Bruce Spence,
Mike Preston",Brian May,Mad Max 2
05/28/1982,Rocky III,"After 10 easy defenses as champion, Rocky loses to hungry Clubber Lang. After Mickey dies, Rocky trains with Apollo and Duke before a big rematch.",Sylvester Stallone,"Sylvester Stallone,
Talia Shire,
Burt Young",Bill Conti,
06/04/1982,Poltergeist,"When Steve Freeling and his wife realize evil has abducted daughter Carol Anne, he calls in a team of parapsychologists led by Dr. Lesh to save her.",Tobe Hooper,"JoBeth Williams,
Craig T. Nelson,
Beatrice Straight",Jerry Goldsmith,
06/04/1982,Star Trek II: The Wrath of Khan,"Admiral Kirk and his crew must stop Khan, an old nemesis, from using the Genesis Device, which can reorganize dead matter into habitable worlds.",Nicholas Meyer,"William Shatner,
Leonard Nimoy,
DeForest Kelley",James Horner,
06/11/1982,E.T. the Extra-Terrestrial,"An alien is stranded in California, so three siblings take it in and hide it. The government wants it, so the kids help it return to its home when it falls ill.",Steven Spielberg,"Henry Thomas,
Dee Wallace,
Peter Coyote",John Williams,
06/11/1982,Grease 2,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.,Patricia Birch,"Maxwell Caulfield,
Michelle Pfeiffer,
Adrian Zmed",Louis St. Louis,
06/18/1982,Firefox,Pilot Mitchell Gant is sent into the Soviet Union on a mission to steal from an airbase a prototype jet fighter that carries weapons controlled by thought.,Clint Eastwood,"Clint Eastwood,
Freddie Jones,
David Huffman",Maurice Jarre,
06/25/1982,Blade Runner,"In 2019 L.A., former cop Rick must pursue and terminate four advanced replicants who stole a spaceship and have returned to find their creator.",Ridley Scott,"Harrison Ford,
Rutger Hauer,
Sean Young",Vangelis,
06/25/1982,Monty Python Live at the Hollywood Bowl,"The Monty Python troupe perform sketches about singing philosophers, lumberjacks, the pope, and a suspicious seabird vendor live in Los Angeles.",Terry Hughes,"Graham Chapman,
John Cleese,
Terry Gilliam","Ray Cooper,
John Du Prez",
06/25/1982,The Thing,"In Antarctica, American researchers encounter a parasitic alien that assimilates and imitates other organisms. They can no longer trust each other.",John Carpenter,"Kurt Russell,
A. Wilford Brimley,
T. K. Carter",Ennio Morricone,
07/02/1982,The Secret of NIMH,"To save her ill son, a widowed field mouse seeks the aid of a colony of rats. She learns that they and her husband were experimented on by NIMH.",Don Bluth,"Elizabeth Hartman,
Dom DeLuise,
Peter Strauss",Jerry Goldsmith,
07/09/1982,Tron,A hacker is abducted into the digital world and forced to fight in gladiatorial games with his only chance of escape a heroic security program.,Steven Lisberger,"Jeff Bridges,
Bruce Boxleitner,
David Warner",Wendy Carlos,
07/16/1982,Six Pack,"A race car driver is heading to a race in a motor home with his car on a trailer, but the car gets stripped of parts. He ends up with six orphan kids.",Daniel Petrie,"Kenny Rogers,
Diane Lane,
Erin Gray","Charles Cochran,
Roger Cook,
Charles Fox",
07/23/1982,The Best Little Whorehouse in Texas,"In Texas, a town sheriff and regular patron of his female lover's brothel fights to keep it running when a reporter declares it the Devil's playhouse.",Colin Higgins,"Burt Reynolds,
Dolly Parton,
Dom DeLuise","Carol Hall,
Dolly Parton,
Patrick Williams",
07/23/1982,The World According to Garp,"Struggling writer Garp finds his life dominated by his unfaithful professor wife Helen and his radical mother Jenny, whose feminist book is successful.",George Roy Hill,"Robin Williams,
Mary Beth Hurt,
Glenn Close",N/A,
07/28/1982,An Officer and a Gentleman,"A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend.",Taylor Hackford,"Richard Gere,
Debra Winger,
David Keith",Jack Nitzsche,
07/30/1982,Night Shift,A morgue attendant is convinced by a co-worker to run a brothel at his workplace. Pimps threaten the two and start a shootout with the police there.,Ron Howard,"Henry Winkler,
Michael Keaton,
Shelley Long",Burt Bacharach,
08/13/1982,Fast Times at Ridgemont High,"In Southern California, a high school senior wants to end a relationship, his sister takes advice about love, and a stoner challenges his history teacher.",Amy Heckerling,"Sean Penn,
Jennifer Jason Leigh,
Judge Reinhold",N/A,
08/13/1982,Friday the 13th Part III,"Chris and her friends travel to Higgins Haven, her old home on Crystal Lake. Jason Voorhees, with a new hockey mask, hides in a barn and attacks.",Steve Miner,"Dana Kimmell,
Paul Kratka,
Tracie Savage","Harry Manfredini,
Michael Zager",
08/20/1982,The Beastmaster,"In Aruk, an evil high priest sends a witch to kill the son of a king, but a villager rescues the child. He becomes a warrior that can speak with animals.",Don Coscarelli,"Marc Singer,
Tanya Roberts,
Rip Torn",Lee Holdridge,
10/08/1982,Lookin' to Get Out,"Two gamblers must leave New York City after one loses $10,000 in a game of poker. In Las Vegas, a name coincidence may help them earn enough.",Hal Ashby,"Jon Voight,
Ann-Margret,
Burt Young","Miles Goodman,
Johnny Mandel,
John Beal",
10/08/1982,My Favorite Year,"In 1954, a junior comedy writer for a variety show spends a summer with his idol, swashbuckling actor Alan, whom he must keep sober for a week.",Richard Benjamin,"Peter O'Toole,
Mark Linn-Baker,
Jessica Harper",Ralph Burns,
10/22/1982,First Blood,"In Washington, a veteran Green Beret is forced by a cruel sheriff and his deputies to flee into the mountains and wage an escalating one-man war.",Ted Kotcheff,"Sylvester Stallone,
Richard Crenna,
Brian Dennehy",Jerry Goldsmith,Rambo 1
