Name,Movies,Awards,Notes
Cameron Crowe,"Say Anything... (1989), Singles (1992), Jerry Maguire (1996), Almost Famous (2000), Vanilla Sky (2001), Elizabethtown (2005), We Bought a Zoo (2011), Aloha (2015)",,
Carl Reiner,"Oh, God! (1977), The Jerk (1979), Dead Men Don't Wear Plaid (1982), The Man with Two Brains (1983), All of Me (1984)",,
Catherine Hardwicke,"The Nativity Story (2006), Twilight (2008), Red Riding Hood (2011), Miss Bala (2019)",,
Cecil B. DeMille,"The Ten Commandments (1923), The Greatest Show on Earth (1952), The Ten Commandments (1956)",The Greatest Show on Earth (1952),
Chris Columbus,"Adventures in Babysitting (1987), Heartbreak Hotel (1988), Home Alone (1990), Home Alone 2: Lost in New York (1992), Mrs. Doubtfire (1993), Nine Months (1995), Stepmom (1998), Bicentennial Man (1999), Harry Potter and the Sorcerer's Stone (2001), Harry Potter and the Chamber of Secrets (2002), Rent (2005), I Love You, Beth Cooper (2009), Percy Jackson & the Olympians: The Lightning Thief (2010), Pixels (2015), The Christmas Chronicles 2 (2020)",,
Chris Rock,"Head of State (2003), I Think I Love My Wife (2007), Top Five (2014)",,
Christopher Guest,"Almost Heroes (1998), Best in Show (2000), A Mighty Wind (2003), For Your Consideration (2006), Mascots (2016)",,
Christopher Landon,"Paranormal Activity: The Marked Ones (2014), Happy Death Day (2017), Happy Death Day 2U (2019), Freaky (2020)",,
Christopher McQuarrie,"The Way of the Gun (2000), Jack Reacher (2012), Mission: Impossible – Rogue Nation (2015), Mission: Impossible – Fallout (2018)",,
Christopher Nolan,"Following (1999), Memento (2001), Insomnia (2002), Batman Begins (2005), The Prestige (2006), The Dark Knight (2008), Inception (2010), The Dark Knight Rises (2012), Interstellar (2014), Dunkirk (2017), Tenet (2020)",Dunkirk (2017),
