Name,Movies,Awards,Notes
Clint Eastwood,"Play Misty for Me (1971), High Plains Drifter (1973), Breezy (1973), The Eiger Sanction (1975), The Outlaw Josey Wales (1976), The Gauntlet (1977), Bronco Billy (1980), Firefox (1982), Honkytonk Man (1982), Sudden Impact (1983), Pale Rider (1985), Heartbreak Ridge (1986), Bird (1988), The Rookie (1990), Unforgiven (1992), A Perfect World (1993), The Bridges of Madison County (1995), Absolute Power (1997), Midnight in the Garden of Good and Evil (1997), True Crime (1999), Space Cowboys (2000), Blood Work (2002), Mystic River (2003), Million Dollar Baby (2004), Flags of Our Fathers (2006), Letters from Iwo Jima (2006), Changeling (2008), Gran Torino (2008), Invictus (2009), Hereafter (2010), J. Edgar (2011), Jersey Boys (2014), American Sniper (2014), Sully (2016), The 15:17 to Paris (2018), The Mule (2018), Richard Jewell (2019), Cry Macho (2021)","Unforgiven (1992), Mystic River (2003), Million Dollar Baby (2004), Letters from Iwo Jima (2006)",
Clive Barker,"Hellraiser (1987), Nightbreed (1990)",,
Damien Chazelle,"Whiplash (2014), La La Land (2016), First Man (2018)",La La Land (2016),
Dan Aykroyd,Nothing but Trouble (1991),,
Daniel Stern,Rookie of the Year (1993),,
Danny Boyle,"Trainspotting (1996), A Life Less Ordinary (1997), The Beach (2000), 28 Days Later (2003), Sunshine (2007), Slumdog Millionaire (2008), 127 Hours (2010), Steve Jobs (2015), T2 Trainspotting (2017), Yesterday (2019)",Slumdog Millionaire (2008),
Danny DeVito,"Throw Momma from the Train (1987), The War of the Roses (1989), Hoffa (1992), Matilda (1996), Death to Smoochy (2002), Duplex (2003)",,
Darren Aronofsky,"Requiem for a Dream (2000), The Fountain (2006), The Wrestler (2008), Black Swan (2010), Noah (2014), Mother! (2017)",Black Swan (2010),
David Cronenberg,"Scanners (1981), Videodrome (1983), The Dead Zone (1983), The Fly (1986), Dead Ringers (1988), Existenz (1999), A History of Violence (2005), Eastern Promises (2007)",,
David Fincher,"Alien 3 (1992), Seven (1995), The Game (1997), Fight Club (1999), Panic Room (2002), Zodiac (2007), The Curious Case of Benjamin Button (2008), The Social Network (2010), The Girl with the Dragon Tattoo (2011), Gone Girl (2014), Mank (2020)","The Curious Case of Benjamin Button (2008), The Social Network (2010), Mank (2020)",
David Gordon Green,"Pineapple Express (2008), Your Highness (2011), The Sitter (2011), Our Brand Is Crisis (2015), Stronger (2017), Halloween (2018), Halloween Kills (2021)",,
David Lynch,"Eraserhead (1977), The Elephant Man (1980), Dune (1984), Blue Velvet (1986), Wild at Heart (1990), Twin Peaks: Fire Walk with Me (1992), Lost Highway (1997), The Straight Story (1999), Mulholland Drive (2001), Inland Empire (2006)","The Elephant Man (1980), Blue Velvet (1986), Mulholland Drive (2001)",
David O. Russell,"Flirting with Disaster (1996), Three Kings (1999), I Heart Huckabees (2004), The Fighter (2010), Silver Linings Playbook (2012), American Hustle (2013), Joy (2015)","The Fighter (2010), Silver Linings Playbook (2012), American Hustle (2013)",
David Yates,"Harry Potter and the Order of the Phoenix (2007), Harry Potter and the Half-Blood Prince (2009), Harry Potter and the Deathly Hallows – Part 1 (2010), Harry Potter and the Deathly Hallows – Part 2 (2011), The Legend of Tarzan (2016), Fantastic Beasts and Where to Find Them (2016), Fantastic Beasts: The Crimes of Grindelwald (2018)",,
Denis Villeneuve,"Maelström (2002), Incendies (2011), Prisoners (2013), Enemy (2014), Sicario (2015), Arrival (2016), Blade Runner 2049 (2017), Dune (2021)",Arrival (2016),
Dennis Hopper,"Easy Rider (1969), The Hot Spot (1990)",,
Denzel Washington,"Antwone Fisher (2002), The Great Debaters (2007), Fences (2016), A Journal for Jordan (2021)",,
Doug Liman,"Swingers (1996), The Bourne Identity (2002), Mr. & Mrs. Smith (2005), Jumper (2008), Fair Game (2010), Edge of Tomorrow (2014), The Wall (2017), American Made (2017), Locked Down (2021), Chaos Walking (2021)",,
Drew Barrymore,Whip It (2009),,
Duncan Jones,"Moon (2009), Source Code (2011), Warcraft (2016), Mute (2018)",,
Ed Harris,"Pollock (2000), Appaloosa (2008)",,
Eddie Murphy,Harlem Nights (1989),,
Edgar Wright,"Shaun of the Dead (2004), Grindhouse (2007), Hot Fuzz (2007), Scott Pilgrim vs. the World (2010), The World's End (2013), Baby Driver (2017), Last Night in Soho (2021)",,
Edward Norton,Keeping the Faith (2000),,
Edward Zwick,"About Last Night (1986), Glory (1989), Legends of the Fall (1994), Courage Under Fire (1996), The Siege (1998), The Last Samurai (2003), Blood Diamond (2006), Defiance (2008), Love & Other Drugs (2010), Pawn Sacrifice (2015), Jack Reacher: Never Go Back (2016)",,
Elizabeth Banks,"Movie 43 (2013), Pitch Perfect 2 (2015), Charlie's Angels (2019)",,
Ethan Coen,"Blood Simple (1985), Raising Arizona (1987), Miller's Crossing (1990), Barton Fink (1991), The Hudsucker Proxy (1994), Fargo (1996), The Big Lebowski (1998), O Brother, Where Art Thou? (2000), The Man Who Wasn't There (2001), Intolerable Cruelty (2003), The Ladykillers (2004), No Country for Old Men (2007), Burn After Reading (2008), A Serious Man (2009), True Grit (2010), Inside Llewyn Davis (2013), Hail, Caesar! (2016), The Ballad of Buster Scruggs (2018)","No Country for Old Men (2007), True Grit (2010)",
F. Gary Gray,"Friday (1995), Set It Off (1996), The Negotiator (1998), A Man Apart (2003), The Italian Job (2003), Be Cool (2005), Law Abiding Citizen (2009), Straight Outta Compton (2015), The Fate of the Furious (2017), Men in Black: International (2019)",,
F. W. Murnau,Nosferatu: A Symphony of Horror (1929),,
Francis Ford Coppola,"The Godfather (1972), The Conversation (1974), The Godfather Part II (1974), Apocalypse Now (1979), One from the Heart (1982), The Outsiders (1983), Rumble Fish (1983), The Cotton Club (1984), Peggy Sue Got Married (1986), Gardens of Stone (1987), Tucker: The Man and His Dream (1988), New York Stories (1989), The Godfather Part III (1990), Bram Stoker's Dracula (1992), Jack (1996), The Rainmaker (1997)","The Godfather (1972), The Godfather Part II (1974), Apocalypse Now (1979), The Godfather Part III (1990)",
François Truffaut,"Fahrenheit 451 (1966), Day for Night (1973)",Day for Night (1973),
Frank Capra,"The Strong Man (1926), Long Pants (1927), For the Love of Mike (1927), That Certain Thing (1928), So This Is Love? (1928), The Matinee Idol (1928), Say It with Sables (1928), Submarine (1928), The Power of the Press (1928), The Younger Generation (1929), The Donovan Affair (1929), Flight (1929), Ladies of Leisure (1930), Rain or Shine (1930), Dirigible (1931), The Miracle Woman (1931), Platinum Blonde (1931), Forbidden (1932), American Madness (1932), The Bitter Tea of General Yen (1933), Lady for a Day (1933), It Happened One Night (1934), Broadway Bill (1934), Mr. Deeds Goes to Town (1936), Lost Horizon (1937), You Can't Take It with You (1938), Mr. Smith Goes to Washington (1939), Meet John Doe (1941), Arsenic and Old Lace (1944), It's a Wonderful Life (1946), State of the Union (1948), Riding High (1950), Here Comes the Groom (1951), A Hole in the Head (1959), Pocketful of Miracles (1961)","Lady for a Day (1933), It Happened One Night (1934), Mr. Deeds Goes to Town (1936), You Can't Take It with You (1938), Mr. Smith Goes to Washington (1939), It’s a Wonderful Life (1946)",
Frank Darabont,"The Shawshank Redemption (1994), The Green Mile (1999), The Majestic (2001), The Mist (2007)",,
Frank Miller,"Sin City (2005), The Spirit (2008), Sin City: A Dame to Kill For (2014)",,
Frank Oz,"The Dark Crystal (1982), The Muppets Take Manhattan (1984), Little Shop of Horrors (1986), Dirty Rotten Scoundrels (1988), What About Bob? (1991), Housesitter (1992), The Indian in the Cupboard (1995), In & Out (1997), Bowfinger (1999), The Score (2001), The Stepford Wives (2004), Death at a Funeral (2007)",,
Fred Zinnemann,"The Search (1948), High Noon (1952), From Here to Eternity (1953), Oklahoma! (1955), The Nun's Story (1959), The Sundowners (1960), A Man for All Seasons (1966), Julia (1977)","The Search (1948), High Noon (1952), From Here to Eternity (1953), The Nun's Story (1959), The Sundowners (1960), A Man for All Seasons (1966), Julia (1977)",
Garry Marshall,"The Flamingo Kid (1984), Nothing in Common (1986), Overboard (1987), Beaches (1988), Pretty Woman (1990), Frankie and Johnny (1991), Glengarry Glen Ross (1992), Exit to Eden (1994), Dear God (1996), The Other Sister (1999), Runaway Bride (1999), The Princess Diaries (2001), Raising Helen (2004), The Princess Diaries 2: Royal Engagement (2004), Georgia Rule (2007), Valentine's Day (2010), New Year's Eve (2011), Mother's Day (2016)",,
Gary Ross,"Pleasantville (1998), Seabiscuit (2003), The Hunger Games (2012), Free State of Jones (2016), Ocean's 8 (2018)",,
Gavin O'Connor,"Miracle (2004), Warrior (2011), The Accountant (2016), The Way Back (2020)",,
George A. Romero,"Night of the Living Dead (1968), The Crazies (1973), Martin (1978), Dawn of the Dead (1979), Creepshow (1982), Day of the Dead (1985), The Dark Half (1993), Land of the Dead (2005)",,
George Clooney,"Confessions of a Dangerous Mind (2002), Good Night, and Good Luck (2005), Leatherheads (2008), The Ides of March (2011), The Monuments Men (2014), Suburbicon (2017), The Midnight Sky (2020)","Good Night, and Good Luck (2005)",
George Cukor,"Little Women (1933), The Philadelphia Story (1940), Gaslight (1944), A Double Life (1947), Adam's Rib (1949), Born Yesterday (1950), A Star Is Born (1954), My Fair Lady (1964)","Little Women (1933), The Philadelphia Story (1940), A Double Life (1947), Born Yesterday (1950), My Fair Lady (1964)",
George Lucas,"THX 1138 (1971), American Graffiti (1973), Star Wars (1977), Star Wars: Episode I – The Phantom Menace (1999), Star Wars: Episode II – Attack of the Clones (2002), Star Wars: Episode III – Revenge of the Sith (2005)","American Graffiti (1973), Star Wars (1977)",
George Miller,"Mad Max (1980), The Road Warrior (1982), Twilight Zone: The Movie (1983), Mad Max Beyond Thunderdome (1985), The Witches of Eastwick (1987), Lorenzo's Oil (1992), Babe: Pig in the City (1998), Happy Feet (2006), Happy Feet Two (2011), Mad Max: Fury Road (2015)",Mad Max: Fury Road (2015),
Gina Prince-Bythewood,"Love & Basketball (2000), The Secret Life of Bees (2008), The Old Guard (2020)",,
Gordon Parks,"Shaft (1971), Shaft's Big Score! (1972)",,
Gore Verbinski,"Mouse Hunt (1997), The Mexican (2001), The Ring (2002), Pirates of the Caribbean: The Curse of the Black Pearl (2003), Pirates of the Caribbean: Dead Man's Chest (2006), Pirates of the Caribbean: At World's End (2007), Rango (2011), The Lone Ranger (2013), A Cure for Wellness (2017)",,
Greg Mottola,"Superbad (2007), Adventureland (2009), Paul (2011), Keeping Up with the Joneses (2016)",,
Greta Gerwig,"Lady Bird (2017), Little Women (2019)",Lady Bird (2017),
Guillermo del Toro,"Cronos (1994), Mimic (1997), The Devil's Backbone (2001), Blade II (2002), Hellboy (2004), Pan's Labyrinth (2006), Hellboy II: The Golden Army (2008), Pacific Rim (2013), Crimson Peak (2015), The Shape of Water (2017), Nightmare Alley (2021)",The Shape of Water (2017),
Gus Van Sant,"My Own Private Idaho (1991), To Die For (1995), Good Will Hunting (1997), Psycho (1998), Finding Forrester (2000), Elephant (2003), Milk (2008), Promised Land (2012)","Good Will Hunting (1997), Milk (2008)",
Guy Ritchie,"Lock, Stock and Two Smoking Barrels (1999), Snatch (2000), RocknRolla (2008), Sherlock Holmes (2009), Sherlock Holmes: A Game of Shadows (2011), The Man from U.N.C.L.E. (2015), King Arthur: Legend of the Sword (2017), Aladdin (2019), The Gentlemen (2020), Wrath of Man (2021)",,
Halle Berry,Bruised (2021),,
Harold Ramis,"Caddyshack (1980), National Lampoon's Vacation (1983), Club Paradise (1986), Groundhog Day (1993), Stuart Saves His Family (1995), Multiplicity (1996), Analyze This (1999), Bedazzled (2000), Analyze That (2002), The Ice Harvest (2005), Year One (2009)",,
Henry Joost,"Paranormal Activity 3 (2011), Paranormal Activity 4 (2012), Nerve (2016), Project Power (2020)",,
Howard Hawks,"Scarface (1932), Bringing Up Baby (1938), His Girl Friday (1940), Sergeant York (1941), To Have and Have Not (1944), Gentlemen Prefer Blondes (1953), Rio Bravo (1959)",Sergeant York (1941),
Ice Cube,The Players Club (1998),,
Ingmar Bergman,"The Seventh Seal (1958), The Virgin Spring (1960), Cries and Whispers (1973), Face to Face (1976), Fanny and Alexander (1983)","Cries and Whispers (1973), Face to Face (1976), Fanny and Alexander (1983)",
Ivan Reitman,"Meatballs (1979), Stripes (1981), Ghostbusters (1984), Legal Eagles (1986), Twins (1988), Ghostbusters II (1989), Kindergarten Cop (1990), Dave (1993), Junior (1994), Fathers' Day (1997), Six Days, Seven Nights (1998), Evolution (2001), My Super Ex-Girlfriend (2006), No Strings Attached (2011), Draft Day (2014)",,
J. J. Abrams,"Mission: Impossible III (2006), Star Trek (2009), Super 8 (2011), Star Trek Into Darkness (2013), Star Wars: The Force Awakens (2015), Star Wars: The Rise of Skywalker (2019)",,
