Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
01/08/2010,Daybreakers,"In 2019, a plague has transformed most humans into vampires. Faced with a low blood supply, a researcher works with humans to preserve life.","Peter Spierig,
Michael Spierig","Ethan Hawke,
Willem Dafoe,
Claudia Karvan",Christopher Gordon,
01/08/2010,Youth in Revolt,"While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on a dream girl whom he hopes will take away his virginity.",Miguel Arteta,"Michael Cera,
Portia Doubleday,
Jean Smart",John Swihart,
01/15/2010,The Book of Eli,A blind nomad fights his way across America to protect a sacred book that can save humankind. A curious warlord's daughter accompanies him.,"Albert Hughes,
Allen Hughes","Denzel Washington,
Gary Oldman,
Mila Kunis","Atticus Ross,
Leopold Ross,
Claudia Sarne",
01/15/2010,The Spy Next Door,"Former CIA spy Bob Ho looks after his girlfriend's three children even though they dislike him. After one downloads a bacteria formula, a villain visits.",Brian Levant,"Jackie Chan,
Amber Valletta,
Madeline Carroll",David Newman,
01/22/2010,Extraordinary Measures,John and Aileen form a biotechnology company to develop a drug to save their two children's lives from Pompe's disease with a difficult researcher.,Tom Vaughan,"Brendan Fraser,
Harrison Ford,
Keri Russell",Andrea Guerra,
01/22/2010,Tooth Fairy,"After a tough minor league hockey player crushes the dream of his girlfriend's daughter, he is forced to serve two weeks as a real-life fairy with wings.",Michael Lembeck,"Dwayne Johnson,
Ashley Judd,
Julie Andrews",George S. Clinton,
01/29/2010,Edge of Darkness,"In Boston, as homicide detective Thomas learns about his activist daughter's murder, he uncovers a U.S. government cover-up of nuclear weaponry.",Martin Campbell,"Mel Gibson,
Ray Winstone,
Danny Huston",Howard Shore,
01/29/2010,When in Rome,"Beth, a young New Yorker, unlucky in love in Rome, steals coins from a reputed fountain of love and is then aggressively pursued by suitors.",Mark Steven Johnson,"Kristen Bell,
Josh Duhamel,
Will Arnett",Christopher Young,
02/05/2010,From Paris with Love,"In Paris, a U.S. ambassador's aid who works CIA jobs on the side unites with a trigger-happy U.S. operations officer stopping a terrorist bomb threat.",Pierre Morel,"John Travolta,
Jonathan Rhys Meyers,
Kasia Smutniak",David Buckley,
02/12/2010,Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Chris Columbus,"Logan Lerman,
Brandon T. Jackson,
Alexandra Daddario",Christophe Beck,Percy Jackson 1
02/12/2010,The Wolfman,"In 1891, an American actor is bittten and cursed by a werewolf after seeking his missing brother in his ancestral homeland. He transforms and kills.",Joe Johnston,"Benicio del Toro,
Anthony Hopkins,
Emily Blunt",Danny Elfman,
02/12/2010,Valentine's Day,"In L.A., a florist, a teacher, a surgeon, a football player, an Army captain, teenagers, co-workers, and grandparents face expectations of a holiday.",Garry Marshall,"Jessica Alba,
Kathy Bates,
Jessica Biel",John Debney,
