Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
02/19/2010,Shutter Island,"In 1954, a U.S. Marshal and his new partner go to the Ashecliffe Hospital for the criminally insane to investigate a patient who drowned her children.",Martin Scorsese,"Leonardo DiCaprio,
Mark Ruffalo,
Ben Kingsley",N/A,
02/26/2010,Cop Out,"Jimmy needs a rare baseball card to pay for his daughter's upcoming wedding. He recruits his cop partner to find the robber, an obsessed gangster.",Kevin Smith,"Bruce Willis,
Tracy Morgan,
Adam Brody","Harold Faltermeyer,
Malcolm Kirby Jr.",
02/26/2010,The Crazies,"After a plane crash, an toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with others.",Breck Eisner,"Timothy Olyphant,
Radha Mitchell,
Joe Anderson",Mark Isham,
03/05/2010,Alice in Wonderland,"In 1871, 19-year-old Alice is told she can restore the White Queen to her throne with the help of the Mad Hatter. Only she can slay the Jabberwocky.",Tim Burton,"Johnny Depp,
Anne Hathaway,
Helena Bonham Carter",Danny Elfman,
03/12/2010,Green Zone,"In 2003, after Roy Miller receives bad intelligence, he independently searches for Iraqi weapons of mass destruction and the lies of General Al-Rawi.",Paul Greengrass,"Matt Damon,
Greg Kinnear,
Brendan Gleeson",John Powell,
03/12/2010,She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,"Jay Baruchel,
Alice Eve,
T.J. Miller",Michael Andrews,
03/19/2010,Diary of a Wimpy Kid,"11-year-old Greg begins middle school, where he grows envious of his childish close friend Rowley when he becomes popular having a broken arm.",Thor Freudenthal,"Zachary Gordon,
Robert Capron,
Rachael Harris",Theodore Shapiro,
03/19/2010,Repo Men,"In 2025, artificial organs can be bought on credit. Remy struggles to make the payments on a heart so must go on the run from previous co-workers.",Miguel Sapochnik,"Jude Law,
Forest Whitaker,
Liev Schreiber",Marco Beltrami,
03/19/2010,The Bounty Hunter,"A former NYPD officer searches for his ex-wife, a reporter working on a murder cover-up. After they reunite, they encounter thugs and corrupt cops.",Andy Tennant,"Jennifer Aniston,
Gerard Butler,
Christine Baranski",George Fenton,
03/19/2010,The Girl with the Dragon Tattoo,"In Sweden, a controversial journalist is aided by a young female hacker in his search for the killer of a woman who disappeared almost 40 years ago.",Niels Arden Oplev,"Michael Nyqvist,
Noomi Rapace,
Ingvar Hirdwall",Jacob Groth,
03/19/2010,The Runaways,"Joan and Cherie, two rebellious teenagers from Southern California, become the frontwomen for a group that paves the way for female rockers.",Floria Sigismondi,"Dakota Fanning,
Kristen Stewart,
Michael Shannon",Lillian Berlin,
03/26/2010,Hot Tub Time Machine,"A malfunctioning time machine at a ski resort takes four men back to 1986, where they must relive a fateful night and not change anything.",Steve Pink,"John Cusack,
Rob Corddry,
Craig Robinson",Christophe Beck,
03/26/2010,How to Train Your Dragon,"In Berk, a teenage Viking who aspires to become a dragon slayer becomes the unlikely friend of a Night Fury, a dangerous rare dragon he sets free.","Chris Sanders,
Dean DeBlois","Jay Baruchel,
Gerard Butler,
Craig Ferguson",John Powell,
03/31/2010,The Last Song,A rebellious girl is sent to a Southern beach town for the summer to stay with her father. The duo connect through their love of music.,Julie Anne Robinson,"Miley Cyrus,
Liam Hemsworth,
Bobby Coleman",Aaron Zigman,
04/02/2010,Clash of the Titans,"Perseus, demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",Louis Leterrier,"Sam Worthington,
Gemma Arterton,
Mads Mikkelsen",Ramin Djawadi,
04/02/2010,Why Did I Get Married Too?,"In the Bahamas, four couples work to save their marriages again on their annual marriage retreat, while each of them battle their emotional issues.",Tyler Perry,"Tyler Perry,
Janet Jackson,
Jill Scott",Aaron Zigman,Why Did I Get Married? 2
04/09/2010,After.Life,"After a car accident, teacher Anna, stuck between life and death, talks to funeral director Eliot, who claims he can transition the dead into the afterlife.",Agnieszka Wójtowicz-Vosloo,"Christina Ricci,
Liam Neeson,
Justin Long",Paul Haslinger,
04/09/2010,Date Night,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a romantic evening into a night more thrilling and dangerous.",Shawn Levy,"Steve Carell,
Tina Fey,
Mark Wahlberg",Christophe Beck,
04/16/2010,Death at a Funeral,"During their father's funeral, two men met a dwarf who reveals himself as their father's secret lover and threatens to reveal photos unless he is paid.",Neil LaBute,"Chris Rock,
Peter Dinklage,
Martin Lawrence",Christophe Beck,
04/16/2010,Kick-Ass,High schooler Dave Lizewski decides to become a superhero but gets caught up in crime when he meets Big Daddy and his tough daughter Hit-Girl.,Matthew Vaughn,"Aaron Johnson,
Christopher Mintz-Plasse,
Mark Strong","John Murphy,
Henry Jackman,
Marius de Vries,
Ilan Eshkeri",
04/23/2010,The Back-up Plan,Zoe undergoes artificial insemination then meets cheese farmer Stan the same day. The two fall in love. She soon discovers she will be having twins.,Alan Poul,"Jennifer Lopez,
Alex O'Loughlin,
Eric Christian Olsen",Stephen Trask,
04/23/2010,The Losers,"When a Special Forces unit gets burned by a CIA agent, they team up with a Bolivian woman who can help them get revenge and clear their names.",Sylvain White,"Jeffrey Dean Morgan,
Zoe Saldana,
Chris Evans",John Ottman,
04/30/2010,A Nightmare on Elm Street,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",Samuel Bayer,"Jackie Earle Haley,
Kyle Gallner,
Rooney Mara",Steve Jablonsky,
05/07/2010,Iron Man 2,"With the world aware of his hero identity, Tony must contend with both his declining health and a vengeful Russian with ties to his father's legacy.",Jon Favreau,"Robert Downey Jr.,
Gwyneth Paltrow,
Mickey Rourke",John Debney,
05/14/2010,Just Wright,"Physical therapist Leslie falls for basketball player Scott, whom she is helping recover from an injury, but her friend Morgan strives to be a trophy wife.",Sanaa Hamri,"Queen Latifah,
Common,
Paula Patton","Wendy Melvoin,
Lisa Coleman",
05/14/2010,Letters to Juliet,"Sophie goes to Verona, Italy with her fiancé. She responds to a heartbreaking letter unanswered since 1957 and helps its writer find her lost love.",Gary Winick,"Amanda Seyfried,
Christopher Egan,
Gael García Bernal",Andrea Guerra,
05/14/2010,Robin Hood,"In 1199 England, archer Robin and his band of marauders confront village corruption and lead an uprising against a new king ordering harsh taxes.",Ridley Scott,"Russell Crowe,
Cate Blanchett,
William Hurt",Marc Streitenfeld,
05/21/2010,MacGruber,"A former special operative returns to action to face his archenemy, who has a nuclear warhead and is bent on destroying Washington, D.C.",Jorma Taccone,"Will Forte,
Kristen Wiig,
Ryan Phillippe",Matthew Compton,
05/21/2010,Shrek Forever After,Rumpelstiltskin tricks bored Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where he rules supreme.,Mike Mitchell,"Mike Myers,
Eddie Murphy,
Cameron Diaz",Harry Gregson-Williams,Shrek 4
05/27/2010,Sex and the City 2,"While they wrestle with the pressures of love and life in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a luxury vacation in Abu Dhabi.",Michael Patrick King,"Sarah Jessica Parker,
Kim Cattrall,
Kristin Davis",Aaron Zigman,
05/28/2010,Prince of Persia: The Sands of Time,A young fugitive prince and princess must stop a villain who threatens to destroy the world with a dagger that enables magic sand to reverse time.,Mike Newell,"Jake Gyllenhaal,
Gemma Arterton,
Ben Kingsley",Harry Gregson-Williams,
06/04/2010,Get Him to the Greek,"A record company intern is hired to accompany a British rock star to L.A.'s Greek Theatre for a big concert, but alcohol and drugs complicate things.",Nicholas Stoller,"Jonah Hill,
Russell Brand,
Elisabeth Moss",Lyle Workman,
06/04/2010,Killers,"Jen meets her perfect man Spencer in France. At home three years later, she learns her husband is a deadly spy. Their neighbors could be assassins.",Robert Luketic,"Ashton Kutcher,
Katherine Heigl,
Tom Selleck",Rolfe Kent,
06/04/2010,Marmaduke,"A dog food marketer, his family, his lovable Great Dane, and his cat move to Orange County. The dog meets pets at a dog park and creates chaos.",Tom Dey,"Owen Wilson,
Lee Pace,
Judy Greer",Christopher Lennertz,
06/04/2010,Splice,Genetic engineers Clive and Elsa create a human animal hybrid. They raise a creature named Dren that rapidly ages and has carnivorous tendencies.,Vincenzo Natali,"Adrien Brody,
Sarah Polley,
Delphine Chanéac",Cyrille Aufort,
06/11/2010,The A-Team,"Four talented Iraq War veterans look to clear their name with the U.S. Military, who suspect them of committing a crime for which they were framed.",Joe Carnahan,"Liam Neeson,
Bradley Cooper,
Jessica Biel",Alan Silvestri,
06/11/2010,The Karate Kid,12-year-old Dre moves from Detroit to Beijing with his mother. He runs afoul of a bully but befriends a maintenance man who mentors him in kung fu.,Harald Zwart,"Jackie Chan,
Jaden Smith,
Taraji P. Henson",James Horner,
06/11/2010,Winter's Bone,Unflinching 17-year-old Ozark Mountain girl Ree hacks through social terrain as she looks for her drug-dealing father to stop her family's eviction.,Debra Granik,"Jennifer Lawrence,
John Hawkes,
Kevin Breznahan",Dickon Hinchliffe,
06/18/2010,Cyrus,"At a party for his ex-wife, John meets and falls for Molly, whose overprotective 21-year-old son does not trust him, lies, and claims he has night terrors.","Jay Duplass,
Mark Duplass","John C. Reilly,
Jonah Hill,
Marisa Tomei",Michael Andrews,
06/18/2010,Jonah Hex,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Jimmy Hayward,"Josh Brolin,
John Malkovich,
Megan Fox","Marco Beltrami,
Mastodon",
06/18/2010,Toy Story 3,Andy's toys are delivered to a daycare before he leaves for college. Woody fails to convince them to return. They are imprisoned by evil bear Lotso.,Lee Unkrich,"Tom Hanks,
Tim Allen,
Joan Cusack",Randy Newman,
06/23/2010,Knight and Day,A young woman gets mixed up with a disgraced spy who is trying to clear his name. They race across the globe with survival dependent on trust.,James Mangold,"Tom Cruise,
Cameron Diaz,
Peter Sarsgaard",John Powell,
06/25/2010,Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan,"Adam Sandler,
Kevin James,
Chris Rock",Rupert Gregson-Williams,
06/30/2010,The Twilight Saga: Eclipse,"As mysterious killings grip Seattle, Bella, close to high school graduation, must choose between her loves for vampire Edward and for werewolf Jacob.",David Slade,"Kristen Stewart,
Robert Pattinson,
Taylor Lautner",Howard Shore,Twilight 3
07/01/2010,The Last Airbender,"12-year-old Aang, the next Avatar, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and Earth Kingdom.",M. Night Shyamalan,"Noah Ringer,
Dev Patel,
Nicola Peltz",James Newton Howard,
07/09/2010,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Pierre Coffin,
Chris Renaud","Steve Carell,
Jason Segel,
Russell Brand","Heitor Pereira,
Pharrell Williams",
07/09/2010,Predators,Eight ruthless killers are picked to try to stay alive on a jungle planet while three Super Predators track them down to sharpen their hunting skills.,Nimród Antal,"Adrien Brody,
Topher Grace,
Alice Braga",John Debney,Predator 3
07/09/2010,The Kids Are All Right,In L.A. teenagers Joni and Laser were conceived by artificial insemination through their mothers Nic and Jules. Biological father Paul befriends them.,Lisa Cholodenko,"Annette Bening,
Julianne Moore,
Mark Ruffalo",Carter Burwell,
07/14/2010,The Sorcerer's Apprentice,"In New York, physics student Dave learns he is a descendant of Merlin. Sorcerer Balthazar trains him to defeat the dark sorceress Morgana le Fay.",Jon Turteltaub,"Nicolas Cage,
Jay Baruchel,
Alfred Molina",Trevor Rabin,
07/16/2010,Inception,A thief who steals corporate secrets through use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.,Christopher Nolan,"Leonardo DiCaprio,
Ken Watanabe,
Joseph Gordon-Levitt",Hans Zimmer,
07/23/2010,Salt,Married CIA agent Evelyn is accused of being a Russian sleeper agent so goes on the run to clear her name. She is later ordered to kill a president.,Phillip Noyce,"Angelina Jolie,
Liev Schreiber,
Chiwetel Ejiofor",James Newton Howard,
07/30/2010,Cats & Dogs: The Revenge of Kitty Galore,Dogs and cats join forces to thwart a former spy cat plotting to transmit a frequency to make dogs hostile. Police dog Diggs is recruited as an agent.,Brad Peyton,"James Marsden,
Christina Applegate,
Chris O'Donnell",Christopher Lennertz,Cats & Dogs 2
07/30/2010,Charlie St. Cloud,"Charlie survives a car crash that kills brother Sam and can now see spirits. Five years later, he has played baseball with Sam daily. He talks to Tess.",Burr Steers,"Zac Efron,
Amanda Crew,
Donal Logue",Rolfe Kent,
07/30/2010,Dinner for Schmucks,"When his superiors host a dinner celebrating the idiocy of their guests, a rising executive befriends a man who would be the perfect guest.",Jay Roach,"Steve Carell,
Paul Rudd,
Jemaine Clement",Theodore Shapiro,
08/06/2010,Flipped,Two eighth-graders start to have feelings for each other despite being total opposites.,Rob Reiner,"Madeline Carroll,
Callan McAuliffe,
Rebecca De Mornay",Marc Shaiman,
08/06/2010,Step Up 3D,"A tight-knit group of New York City street dancers, the Pirates, find themselves against the world's best hip hop dancers in a high-stakes showdown.",Jon M. Chu,"Rick Malambri,
Adam G. Sevani,
Sharni Vinson",Bear McCreary,
08/06/2010,The Other Guys,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, but things don't go as planned.",Adam McKay,"Will Ferrell,
Mark Wahlberg,
Eva Mendes",Jon Brion,
08/13/2010,Animal Kingdom,"In Australia, 17-year-old J navigates his survival amongst an explosive drug crime family and the honorable detective who thinks he can save him.",David Michôd,"James Frecheville,
Ben Mendelsohn,
Guy Pearce",Antony Partos,
08/13/2010,Eat Pray Love,"After a painful divorce, Elizabeth embarks on a self-discovery journey around the world, eating in Italy, praying in India, and loving in Indonesia.",Ryan Murphy,"Julia Roberts,
James Franco,
Richard Jenkins",Dario Marianelli,
08/13/2010,Scott Pilgrim vs. the World,"In a magical Toronto, the bass guitarist for a garage rock band must defeat his new girlfriend's seven evil ex-boyfriends in battle to win her heart.",Edgar Wright,"Michael Cera,
Mary Elizabeth Winstead,
Kieran Culkin",Nigel Godrich,
08/13/2010,The Expendables,Barney Ross' team of mercenaries work to stop a Latin American dictator whom they soon discover to be a figurehead controlled by an ex-CIA agent.,Sylvester Stallone,"Sylvester Stallone,
Jason Statham,
Jet Li",Brian Tyler,
08/20/2010,Lottery Ticket,Young Kevin must survive a three-day weekend after his opportunistic projects neighbors learn he is holding a lottery ticket worth over $370 million.,Erik White,"Bow Wow,
Brandon T. Jackson,
Naturi Naughton",Teddy Castellucci,
08/20/2010,Nanny McPhee Returns,"In the 1940s, a nanny helps a mother trying to run the family farm while her husband is away at war, giving her children and two cousins five lessons.",Susanna White,"Emma Thompson,
Maggie Gyllenhaal,
Rhys Ifans",James Newton Howard,Nanny McPhee 2
08/20/2010,Piranha 3D,"After prehistoric man-eating fish are set free, a group of strangers must band together to stop themselves from becoming fish food.",Alexandre Aja,"Elisabeth Shue,
Steven R. McQueen,
Adam Scott",Michael Wandmacher,
08/20/2010,The Switch,Wally realizes he replaced the sperm his closest friend Kassie used with his own seven years ago. He bonds with her son while planning to confess.,"Will Speck,
Josh Gordon","Jennifer Aniston,
Jason Bateman,
Patrick Wilson",Alex Wurman,
08/27/2010,Takers,A group of bank robbers find their multi-million dollar plan to rob an armored car interrupted by a hard-boiled detective.,John Luessenhop,"Matt Dillon,
Paul Walker,
Idris Elba",Paul Haslinger,
08/27/2010,The Last Exorcism,"After false exorcisms, evangelical minister Cotton participates in a documentary where he answers a farmer request to aid possessed daughter Nell.",Daniel Stamm,"Patrick Fabian,
Ashley Bell,
Iris Bahr",Nathan Barr,
09/01/2010,The American,"After he survives an ambush in Sweden, a U.S. hitman is sent by his control to a small town in Italy, where he befriends a prostitute and a priest.",Anton Corbijn,"George Clooney,
Violante Placido,
Thekla Reuten",Herbert Grönemeyer,
09/03/2010,Going the Distance,A journalist and a record company worker try to keep their love alive as they both move between New York and San Francisco to see one another.,Nanette Burstein,"Drew Barrymore,
Justin Long,
Charlie Day",Mychael Danna,
09/03/2010,Machete,"After being set up and betrayed by the man who hired him to assassinate a hated Texas Senator, a Mexican Federal launches a rampage of revenge.","Robert Rodriguez,
Ethan Maniquis","Danny Trejo,
Michelle Rodriguez,
Robert De Niro",Chingon,
09/10/2010,Legendary,"A book-smart teenager joins his school wrestling team to reunite his brother and mother, who split apart after the death of his wrestler legend father.",Mel Damski,"Devon Graye,
John Cena,
Patricia Clarkson",James A. Johnston,
09/10/2010,Resident Evil: Afterlife,"In L.A., Alice joins virus survivors in a prison who want to head to Arcadia, a safe cargo tanker, as they face enhanced Umbrella lead Albert Wesker.",Paul W. S. Anderson,"Milla Jovovich,
Ali Larter,
Kim Coates",Tomandandy,Resident Evil 4
09/15/2010,Never Let Me Go,"Three clones grow up in an idyllic boarding school in the English countryside. They confront feelings of love, jealousy and betrayal.",Mark Romanek,"Carey Mulligan,
Keira Knightley,
Andrew Garfield",Rachel Portman,
09/17/2010,Alpha and Omega,Two wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home. They fall in love.,"Anthony Bell,
Ben Gluck","Justin Long,
Hayden Panettiere,
Dennis Hopper",Chris Bacon,
09/17/2010,Devil,"In Philadelphia, a mechanic, a salesman, a young woman, an old woman, and a guard are trapped in an elevator. A detective observes murders in it.",John Erick Dowdle,"Chris Messina,
Logan Marshall-Green,
Geoffrey Arend",Fernando Velázquez,
09/17/2010,Easy A,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,Will Gluck,"Emma Stone,
Penn Badgley,
Amanda Bynes",Brad Segal,
09/17/2010,The Town,"A thief, planning his next job, tries to balance his feelings for a bank manager and a hell-bent FBI Agent looking to bring him and his crew down.",Ben Affleck,"Ben Affleck,
Rebecca Hall,
Jon Hamm","Harry Gregson-Williams,
David Buckley",
09/24/2010,Buried,"After an attack by a group of Iraqis, U.S. truck driver Paul wakes to find he is trapped inside a coffin. With only a lighter and a cell phone, it's a race against time to escape.",Rodrigo Cortés,"Ryan Reynolds
José Luis García Pérez,
Robert Paterson",Víctor Reyes,
09/24/2010,Legend of the Guardians: The Owls of Ga'Hoole,"When a young owl is abducted by a wicked army, he must escape with newfound friends and seek the legendary warrior Guardians to stop the evil.",Zack Snyder,"Jim Sturgess,
Helen Mirren,
Geoffrey Rush",David Hirschfelder,
09/24/2010,Wall Street: Money Never Sleeps,"Now out of prison, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees a chance to take down one of his enemies.",Oliver Stone,"Michael Douglas,
Shia LaBeouf,
Josh Brolin",Craig Armstrong,Wall Street 2
09/24/2010,You Again,"Public relations executive Marni does not trust her brother's fiancée Joanna, who bullied her in high school. Their mothers' friendship ended tragically.",Andy Fickman,"Kristen Bell,
Jamie Lee Curtis,
Sigourney Weaver",Nathan Wang,
10/01/2010,Fair Game,CIA operative Valerie Plame believes her identity was leaked by the government as payback for her husband's op-ed article against George W. Bush.,Doug Liman,"Naomi Watts,
Sean Penn,
Noah Emmerich",John Powell,
10/01/2010,Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. He must find a way to survive.",Wilson Yip,"Donnie Yen,
Simon Yam,
Lynn Hung",Kenji Kawai,
10/01/2010,The Social Network,"As Harvard student Mark creates Facebook, he is sued by twins who claimed he stole their idea and by the co-founder squeezed out of the business.",David Fincher,"Jesse Eisenberg,
Andrew Garfield,
Justin Timberlake","Trent Reznor,
Atticus Ross",
10/08/2010,Life as We Know It,"In Atlanta, a bickering bakery owner and sports director become caregivers to an orphaned girl when their mutual best friends die in an accident.",Greg Berlanti,"Katherine Heigl,
Josh Duhamel,
Josh Lucas",Blake Neely,
10/08/2010,My Soul to Take,"In Riverton, legend tells of a serial killer who will return to murder the seven children born the night he died. 16 years later, Bug learns of a dark past.",Wes Craven,"Max Thieriot,
John Magaro,
Denzel Whitaker",Marco Beltrami,
10/08/2010,Nowhere Boy,John Lennon is separated from his mother and is raised by his stern aunt and uncle. He forms the Quarrymen band and befriends Paul McCartney.,Sam Taylor-Johnson,"Aaron Johnson,
Anne-Marie Duff,
Kristin Scott Thomas",Goldfrapp,
10/08/2010,Secretariat,"In 1973, Penny who has taken over the stables of her ailing father, with the help of a veteran trainer, fosters the first Triple Crown winning racehorse.",Randall Wallace,"Diane Lane,
John Malkovich,
Otto Thorwarth",Nick Glennie-Smith,
10/15/2010,Hereafter,American George can speak to the dead. French journalist Marie has a near-death experience that shakes her reality. Student Marcus loses his twin.,Clint Eastwood,"Matt Damon,
Cécile de France,
Bryce Dallas Howard",Clint Eastwood,
10/15/2010,Red,"When his peaceful life talking to pension worker Sarah is threatened by a high-tech assassin, a former black-ops agent reassembles his old team.",Robert Schwentke,"Bruce Willis,
Morgan Freeman,
John Malkovich",Christophe Beck,
10/22/2010,Paranormal Activity 2,"After experiencing what they think are break-ins, a family sets up security cameras around their home, only to realize the events unfolding before them are more sinister than they seem.",Tod Williams,"Sprague Grayden,
Brian Boland,
Molly Ephraim",N/A,
10/29/2010,Saw 3D,"As a battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor.",Kevin Greutert,"Tobin Bell,
Costas Mandylor,
Betsy Russell",Charlie Clouser,Saw 7
11/05/2010,127 Hours,"Aron becomes trapped under a boulder while climbing alone in Utah. Over five days, he recalls his past and considers amputating his right arm.",Danny Boyle,"James Franco,
Amber Tamblyn,
Kate Mara",A. R. Rahman,
11/05/2010,Due Date,High-strung Peter is forced to hitch a ride with a grieving aspiring actor on a road trip from Atlanta to L.A. to make it in time for his first child's birth.,Todd Phillips,"Robert Downey Jr.,
Zach Galifianakis,
Michelle Monaghan",Christophe Beck,
11/05/2010,For Colored Girls,"In New York, 10 black women, most of whom live in the same Harlem apartment building, endure personal crises, heartbreak, and hard challenges.",Tyler Perry,"Janet Jackson,
Thandiwe Newton,
Whoopi Goldberg",Aaron Zigman,
11/05/2010,Let Me In,"In Los Alamos, New Mexico, a bullied 12-year-old boy befriends a young female vampire who lives in secrecy with her guardian.",Matt Reeves,"Kodi Smit-McPhee,
Chloë Grace Moretz,
Elias Koteas",Michael Giacchino,
11/05/2010,Megamind,"An intelligent alien finally defeats his nemesis, the superhero Metro Man. Lacking purpose, he and his minion create a new hero from a cameraman.",Tom McGrath,"Will Ferrell,
Tina Fey,
Jonah Hill","Hans Zimmer,
Lorne Balfe",
11/10/2010,Morning Glory,"In New York City, a dedicated TV news producer accepts the challenge of reviving a invigorating morning show program with quarrelling co-hosts.",Roger Michell,"Rachel McAdams,
Harrison Ford,
Diane Keaton",David Arnold,
11/12/2010,Unstoppable,"With an unmanned freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe.",Tony Scott,"Denzel Washington,
Chris Pine,
Rosario Dawson",Harry Gregson-Williams,
11/19/2010,Harry Potter and the Deathly Hallows – Part 1,"As Voldemort gains control over the Ministry of Magic and Hogwarts, Harry seeks the Horcruxes and uncovers the legend of the Deathly Hallows.",David Yates,"Daniel Radcliffe,
Rupert Grint,
Emma Watson",Alexandre Desplat,Harry Potter 7
11/19/2010,The Next Three Days,"After John's wife Lara is wrongly convicted of the murder of her boss and placed in a prison for life, John begins to research to organize her escape.",Paul Haggis,"Russell Crowe,
Elizabeth Banks,
Brian Dennehy",Danny Elfman,
11/24/2010,Burlesque,A small-town girl goes to Los Angeles and finds her place in a neo-burlesque club run by a former dancer. Her big voice makes her the revue's star.,Steven Antin,"Christina Aguilera,
Cher,
Cam Gigandet",Christophe Beck,
11/24/2010,Faster,"After leaving prison, Jimmy starts a crusade to kill those involved in murdering his half-brother Gary. Two police detectives and a hitman look for him.",George Tillman Jr.,"Dwayne Johnson,
Billy Bob Thornton,
Oliver Jackson-Cohen",Clint Mansell,
11/24/2010,Love & Other Drugs,"In 1996 Pittsburgh, Viagra salesman Jamie starts a relationship with Maggie, who suffers from early Parkinson's disease. He is desperate for a cure.",Edward Zwick,"Jake Gyllenhaal,
Anne Hathaway,
Oliver Platt",James Newton Howard,
11/24/2010,Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Nathan Greno,
Byron Howard","Mandy Moore,
Zachary Levi,
Donna Murphy",Alan Menken,
11/26/2010,The King's Speech,"In Britain, Albert ascends to the throne but has a stammer. His wife employs an Australian speech therapist to help him make radio announcements.",Tom Hooper,"Colin Firth,
Geoffrey Rush,
Helena Bonham Carter",Alexandre Desplat,
12/03/2010,Black Swan,"In New York City, a committed dancer struggles to maintain her sanity after winning the lead role in a production of Swan Lake and fighting with a rival.",Darren Aronofsky,"Natalie Portman,
Vincent Cassel,
Mila Kunis",Clint Mansell,
12/10/2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Lucy and Edmund return with their mean cousin Eustace to Narnia, where they meet Caspian for a trip across the sea to find seven banished lords.",Michael Apted,"Georgie Henley,
Skandar Keynes,
Ben Barnes",David Arnold,Narnia 3
